Symbol,Ask,Bid,%Chg~,Volume~,"Exp Date",DTE,Strike,Type,Moneyness,Ask,Last,Volume,"Total OI","IV Rank",Delta,Theta,Vega,"BE (Ask)","%BE (Ask)","Yield to Strike%","Ann Yield to Strike%","ITM Prob","OTM Prob","Short Term~"
PLTR,161.05,161.02,+2.49%,45614968,2025-09-19,24,150.00,Put,-6.67%,4.3,4.2,1970,3657659,19.97%,0.278657,0.153307,-0.138552,145.7,-9.35%,2.80%,42.58%,31.20%,68.80%,Buy
PLTR,161.05,161.02,+2.49%,45614968,2025-09-26,31,150.00,Put,-6.67%,5.3,5.15,1566,3657659,19.97%,0.293934,0.136353,-0.161509,144.7,-9.97%,3.43%,40.42%,33.20%,66.80%,Buy
NVDA,181.54,181.53,+0.91%,79603777,2025-09-19,24,172.50,Put,-4.85%,4.65,4.6,482,18849266,27.30%,0.305294,0.155214,-0.163276,167.85,-7.41%,2.64%,40.11%,34.16%,65.84%,Buy
CRM,244.03,243.95,-1.47%,2541560,2025-09-19,24,230.00,Put,-5.51%,6.1,6.2,556,604026,66.95%,0.29039,0.213837,-0.21439,223.9,-8.02%,2.59%,39.34%,32.73%,67.27%,Sell
AMD,166.15,166.14,+1.65%,35114493,2025-09-19,24,157.50,Put,-4.79%,3.8,3.78,312,3789315,16.39%,0.297733,0.130836,-0.14732,153.7,-7.09%,2.38%,36.21%,33.33%,66.67%,Buy
NVDA,181.54,181.53,+0.91%,79603777,2025-09-19,24,170.00,Put,-6.23%,3.9,3.84,4601,18849266,27.30%,0.266607,0.147821,-0.153082,166.1,-8.38%,2.26%,34.44%,30.10%,69.90%,Buy
PLTR,161.05,161.02,+2.49%,45614968,2025-09-19,24,145.00,Put,-9.78%,3.1,2.99,591,3657659,19.97%,0.211813,0.13856,-0.119516,141.9,-11.71%,2.07%,31.47%,24.16%,75.84%,Buy
PLTR,161.05,161.02,+2.49%,45614968,2025-09-26,31,145.00,Put,-9.78%,3.95,3.85,308,3657659,19.97%,0.23071,0.125135,-0.14262,141.05,-12.24%,2.62%,30.86%,26.54%,73.46%,Buy
NVDA,181.54,181.53,+0.91%,79603777,2025-09-26,31,170.00,Put,-6.23%,4.5,4.4,1542,18849266,27.30%,0.276381,0.124218,-0.177105,165.5,-8.71%,2.59%,30.47%,31.41%,68.59%,Buy
AMD,166.15,166.14,+1.65%,35114493,2025-09-19,24,155.00,Put,-6.30%,3.1,3.1,466,3789315,16.39%,0.253842,0.123461,-0.136202,151.9,-8.18%,1.94%,29.44%,28.71%,71.29%,Buy
GOOGL,207.23,207.21,-0.72%,9628091,2025-09-19,24,200.00,Put,-3.30%,3.7,3.6,347,3419740,28.61%,0.308337,0.121448,-0.18711,196.3,-5.09%,1.80%,27.38%,34.51%,65.49%,Buy
NVDA,181.54,181.53,+0.91%,79603777,2025-09-26,31,165.00,Put,-8.99%,3.25,3.19,343,18849266,27.30%,0.212868,0.112307,-0.153832,161.75,-10.78%,1.94%,22.83%,24.64%,75.36%,Buy
SMH,296.84,296.82,+0.97%,2388765,2025-09-19,24,285.00,Put,-3.82%,4.2,4.3,306,1024284,4.37%,0.277572,0.153529,-0.255086,280.8,-5.23%,1.44%,21.88%,31.00%,69.00%,Buy
LLY,726.66,726.5,+4.15%,3821447,2025-09-19,24,700.00,Put,-3.53%,9.8,9.49,999,466328,12.24%,0.277924,0.36007,-0.625688,690.2,-4.88%,1.36%,20.64%,31.48%,68.52%,Sell
AAPL,227.88,227.86,+0.21%,16330266,2025-09-19,24,220.00,Put,-2.96%,2.84,2.82,602,5522257,17.62%,0.285355,0.102102,-0.19813,217.16,-4.21%,1.27%,19.36%,32.81%,67.19%,Buy
GOOGL,207.23,207.21,-0.72%,9628091,2025-09-19,24,195.00,Put,-5.72%,2.39,2.35,439,3419740,28.61%,0.218187,0.106206,-0.156686,192.61,-6.87%,1.21%,18.33%,24.95%,75.05%,Buy
AMZN,228.17,228.16,-0.07%,8463901,2025-09-19,24,220.00,Put,-3.58%,2.39,2.35,470,3733941,2.82%,0.260564,0.092662,-0.189947,217.61,-4.62%,1.08%,16.38%,28.54%,71.46%,Buy
IWM,234.62,234.61,+0.97%,12558291,2025-09-19,24,227.00,Put,-3.02%,2.41,2.4,1136,11794872,8.73%,0.273061,0.091272,-0.199765,224.59,-4.05%,1.05%,15.95%,30.28%,69.72%,Buy
AAPL,227.88,227.86,+0.21%,16330266,2025-09-19,24,217.50,Put,-4.06%,2.26,2.29,1984,5522257,17.62%,0.235519,0.095426,-0.179462,215.24,-5.06%,1.02%,15.52%,27.44%,72.56%,Buy
MSFT,501.81,501.78,-0.67%,5338223,2025-09-19,24,490.00,Put,-2.46%,4.75,4.6,491,2238007,6.47%,0.288547,0.167661,-0.439453,485.25,-3.40%,0.95%,14.43%,31.17%,68.83%,Buy
DIS,117.73,117.7,-0.10%,1689712,2025-09-19,24,114.00,Put,-3.28%,1.08,1.07,1151,829882,10.01%,0.259682,0.042718,-0.097886,112.92,-4.19%,0.92%,14.01%,27.73%,72.27%,Buy
XLE,87.57,87.56,-0.76%,5403049,2025-09-19,24,85.00,Put,-2.96%,0.81,0.79,1218,2061705,9.70%,0.267587,0.030438,-0.073892,84.19,-3.88%,0.91%,13.78%,28.87%,71.13%,Hold
QQQ,571.6,571.59,+0.16%,16450302,2025-09-19,24,558.00,Put,-2.27%,4.88,4.8,315,8871789,7.01%,0.282802,0.175714,-0.495253,553.12,-3.13%,0.87%,13.25%,31.43%,68.57%,Buy
IWM,234.62,234.61,+0.97%,12558291,2025-09-30,35,225.00,Put,-3.87%,2.6,2.55,4027,11794872,8.73%,0.254232,0.070164,-0.232529,222.4,-4.98%,1.14%,11.91%,28.63%,71.37%,Buy
QQQ,571.6,571.59,+0.16%,16450302,2025-09-19,24,555.00,Put,-2.80%,4.31,4.23,745,8871789,7.01%,0.251408,0.171762,-0.466837,550.69,-3.55%,0.77%,11.73%,28.11%,71.89%,Buy
MSFT,501.81,501.78,-0.67%,5338223,2025-09-19,24,485.00,Put,-3.45%,3.65,3.52,647,2238007,6.47%,0.23004,0.155516,-0.39101,481.35,-4.18%,0.73%,11.13%,25.11%,74.89%,Buy
XLE,87.57,87.56,-0.76%,5403049,2025-09-19,24,84.00,Put,-4.10%,0.61,0.59,2445,2061705,9.70%,0.208214,0.027722,-0.064385,83.39,-4.80%,0.69%,10.50%,22.69%,77.31%,Hold
QQQ,571.6,571.59,+0.16%,16450302,2025-09-19,24,550.00,Put,-3.67%,3.5,3.46,4959,8871789,7.01%,0.206414,0.162646,-0.417951,546.5,-4.29%,0.63%,9.60%,23.29%,76.71%,Buy
SPY,643.37,643.36,+0.12%,18913126,2025-09-19,24,629.00,Put,-2.14%,3.75,3.86,460,17532298,6.51%,0.2535,0.148681,-0.527462,625.25,-2.72%,0.59%,9.04%,28.33%,71.67%,Buy
SPY,643.37,643.36,+0.12%,18913126,2025-09-30,35,629.00,Put,-2.14%,5.05,5.16,807,17532298,6.51%,0.278566,0.122755,-0.667899,623.95,-2.93%,0.80%,8.34%,31.42%,68.58%,Buy
GLD,311.71,311.67,+0.53%,4032721,2025-09-19,24,305.00,Put,-2.18%,1.65,1.66,440,3217215,9.02%,0.244808,0.064918,-0.250913,303.35,-2.71%,0.53%,8.13%,26.89%,73.11%,Buy
