Symbol,Name,Last,Change,%Chg,Open,High,Low,Time
$SPX,"S&P 500 Index",6465.94,26.62,+0.41%,6435.49,6468.22,6429.21,2025-08-26
$ONE,"S&P 100 Index",3201.11,15,+0.47%,3184.83,3202.1,3178.2,2025-08-26
$IDX,"S&P Midcap 400",3244.96,13.57,+0.42%,3236.78,3254.54,3236.78,2025-08-26
$IQY,"S&P Smallcap 600",1434.68,4.73,+0.33%,1428.84,1439.73,1428.56,2025-08-26
$ESG,"S&P 500 ESG",562.27,2.01,+0.36%,559.91,562.5,559.06,2025-08-26
$IGX,"S&P 500 Growth",4653.75,27.95,+0.60%,4623.87,4655.28,4616.57,2025-08-26
$IVX,"S&P 500 Value",1997.57,3.8399999999999,+0.19%,1992.13,1998.53,1989.33,2025-08-26
$IQX,"S&P 500 Equal Weighted",7612.62,5.8699999999999,+0.08%,7606.75,7618.89,7589.51,2025-08-26
$SFTI,"S&P 500 Index Total Return",976.2,0.82000000000005,+0.08%,975.49,976.5,975.49,"23:02 ET"
$SRFI,"S&P 500 Financials [Sector]",891.43,6.6999999999999,+0.76%,882.81,891.63,882.55,2025-08-26
$SRHC,"S&P 500 Health Care [Sector]",1593.78,8.73,+0.55%,1588.7,1595.23,1585.65,2025-08-26
$SREN,"S&P 500 Energy [Sector]",670.34,-1.37,-0.20%,669.04,671.11,664.34,2025-08-26
$SRIT,"S&P 500 Information Technology [Sector]",5261.35,27.530000000001,+0.53%,5237.03,5267.13,5220.84,2025-08-26
$SRTS,"S&P 500 Communication Services [Sector]",398.33,-1.07,-0.27%,398.12,398.43,396.33,2025-08-26
$SRCD,"S&P 500 Consumer Discretionary [Sector]",1875.34,7.9299999999998,+0.42%,1865.63,1876.27,1863.05,2025-08-26
$SRCS,"S&P 500 Consumer Staples [Sector]",883.77,-4.04,-0.46%,886.23,887.09,881.36,2025-08-26
$SRIN,"S&P 500 Industrials [Sector]",1294.42,13.21,+1.03%,1281.02,1295.63,1281.02,2025-08-26
$SRMA,"S&P 500 Materials [Sector]",582.94,2.4000000000001,+0.41%,578.78,583.3,578.36,2025-08-26
$SRRE,"S&P 500 Real Estate [Sector]",263.26,-0.85,-0.32%,263.44,264.58,262.38,2025-08-26
$SRUT,"S&P 500 Utilities [Sector]",431.29,0.96000000000004,+0.22%,430.79,432.26,428.8,2025-08-26
$DOWI,"Dow Jones Industrial Average",45418.07,135.6,+0.30%,45236.83,45437.62,45192.29,2025-08-26
$DOWT,"Dow Jones Transportation Average",15863.21,48.65,+0.31%,15768.74,15874.71,15739.21,2025-08-26
$DOWU,"Dow Jones Utility Average",1099.16,3.4100000000001,+0.31%,1096.34,1101.34,1092.57,2025-08-26
$DOWC,"Dow Jones Composite Average",14165.27,42.74,+0.30%,14105.39,14172.38,14094.38,2025-08-26
$IUXX,"Nasdaq 100 Index",23525.29,99.690000000002,+0.43%,23420.85,23532.51,23369.04,2025-08-26
$NASX,"Nasdaq Composite",21544.27,94.98,+0.44%,21443.63,21550.92,21389.1,2025-08-26
$HGX,"PHLX Housing Index",745.8,-3.28,-0.44%,748.15,751.31,745.15,2025-08-26
$OSX,"PHLX Oil Service",63.7,-0.63,-0.98%,63.81,64.39,63.42,2025-08-26
$SOX,"PHLX Semiconductor Index",5807.92,51.62,+0.90%,5780.14,5824.07,5780.02,2025-08-26
$UTY,"PHLX Utility Index",1056.68,0.76999999999998,+0.07%,1056.29,1058.9,1050.7,2025-08-26
$XAU,"PHLX Gold/Silver Index",244.06,4.66,+1.95%,239.77,244.1,239.77,2025-08-26
$VIX,"CBOE Volatility Index",14.62,-0.17,-1.15%,15.75,15.75,14.62,2025-08-26
$VXN,"Nasdaq 100 VIX",18.19,-0.23,-1.25%,18.74,18.99,18.19,2025-08-26
$GNX,"S&P GSCI Index",543.43,0.29999999999995,+0.06%,543.13,544.16,542.93,"23:02 ET"
$BCI,"DJ Commodity Index",1055.43,0.48000000000002,+0.05%,1055.56,1057.25,1054.76,"23:02 ET"
$DXY,"U.S. Dollar Index",98.34,0.12,+0.12%,98.27,98.37,98.24,"23:02 ET"
"Downloaded from Barchart.com as of 08-26-2025 10:12pm CDT"
