Symbol,Price~,"Exp Date",DTE,Strike,Type,Moneyness,Bid,"BE (Bid)","%BE (Bid)",Volume,"Open Int","IV Rank",Delta,Return,"Ann Rtn","Profit Prob"
AAPL,229.31,2025-09-19,24,220.00,Put,-4.06%,2.33,217.67,-5.08%,749,18593,16.45%,0.246909,1.1%,16.3%,78.12%
AAPL,229.31,2025-09-19,24,217.50,Put,-5.15%,1.83,215.67,-5.95%,2231,2199,16.45%,0.204452,0.8%,12.9%,81.05%
AMD,166.62,2025-09-19,24,157.50,Put,-5.47%,3.45,154.05,-7.54%,340,2362,15.33%,0.281671,2.2%,34.1%,75.70%
AMD,166.62,2025-09-19,24,155.00,Put,-6.97%,2.77,152.23,-8.64%,607,9401,15.33%,0.23801,1.8%,27.7%,78.59%
AMZN,228.71,2025-09-19,24,222.50,Put,-2.72%,2.87,219.63,-3.97%,305,1385,2.10%,0.306205,1.3%,19.9%,74.02%
AMZN,228.71,2025-09-19,24,220.00,Put,-3.81%,2.24,217.76,-4.79%,1166,19456,2.10%,0.250328,1.0%,15.6%,77.71%
AVGO,298.01,2025-09-19,24,270.00,Put,-9.40%,5.35,264.65,-11.19%,283,12080,35.12%,0.214486,2.0%,30.7%,80.21%
CRM,243.74,2025-09-19,24,230.00,Put,-5.64%,6.2,223.8,-8.18%,766,9811,66.77%,0.296971,2.8%,42.1%,74.73%
DIA,454.49,2025-09-19,24,445.00,Put,-2.09%,2.2,442.8,-2.57%,690,2614,3.83%,0.2411,0.5%,7.6%,77.75%
DIS,117.65,2025-09-19,24,114.00,Put,-3.10%,1.02,112.98,-3.97%,1160,1225,9.60%,0.263078,0.9%,13.7%,77.14%
GLD,312.08,2025-09-19,24,305.00,Put,-2.27%,1.56,303.44,-2.77%,518,7924,11.19%,0.236524,0.5%,7.8%,78.05%
GLD,312.08,2025-09-19,24,304.00,Put,-2.59%,1.33,302.67,-3.02%,328,2732,11.19%,0.208878,0.4%,6.7%,80.11%
GOOGL,207.14,2025-09-19,24,200.00,Put,-3.45%,3.55,196.45,-5.16%,458,9216,27.92%,0.311857,1.8%,27.5%,73.84%
GOOGL,207.14,2025-09-19,24,195.00,Put,-5.86%,2.3,192.7,-6.97%,678,10303,27.92%,0.219207,1.2%,18.2%,80.07%
IWM,234.28,2025-09-30,35,225.00,Put,-3.96%,2.53,222.47,-5.04%,8377,3057,8.53%,0.254782,1.1%,11.9%,77.35%
IWM,234.28,2025-09-19,24,228.00,Put,-2.68%,2.61,225.39,-3.79%,2295,49889,8.53%,0.297932,1.2%,17.6%,74.89%
IWM,234.28,2025-09-19,24,227.00,Put,-3.11%,2.35,224.65,-4.11%,1162,17803,8.53%,0.274157,1.0%,15.9%,76.41%
IWM,234.28,2025-09-19,24,225.00,Put,-3.96%,1.9,223.1,-4.77%,1047,62089,8.53%,0.231102,0.9%,13.0%,79.31%
LLY,736.03,2025-09-19,24,700.00,Put,-4.90%,7.15,692.85,-5.87%,1205,2773,14.17%,0.230462,1.0%,15.7%,79.11%
META,754.1,2025-09-19,24,715.00,Put,-5.18%,6.65,708.35,-6.07%,256,1455,1.94%,0.210514,0.9%,14.3%,80.65%
MSFT,502.04,2025-09-19,24,490.00,Put,-2.40%,4.6,485.4,-3.31%,939,10028,6.19%,0.291519,0.9%,14.4%,74.89%
MSFT,502.04,2025-09-19,24,485.00,Put,-3.39%,3.5,481.5,-4.09%,1140,2666,6.19%,0.231297,0.7%,11.1%,79.05%
NVDA,181.77,2025-09-26,31,170.00,Put,-6.48%,4.45,165.55,-8.92%,2181,3301,28.45%,0.277641,2.7%,31.6%,75.70%
NVDA,181.77,2025-09-26,31,165.00,Put,-9.23%,3.2,161.8,-10.99%,811,4955,28.45%,0.213361,2.0%,23.3%,80.07%
NVDA,181.77,2025-09-19,24,172.50,Put,-5.10%,4.6,167.9,-7.63%,798,3359,28.45%,0.306712,2.7%,41.7%,73.98%
NVDA,181.77,2025-09-19,24,170.00,Put,-6.48%,3.85,166.15,-8.59%,6033,77054,28.45%,0.266904,2.3%,35.2%,76.59%
NVDA,181.77,2025-09-19,24,168.00,Put,-7.58%,3.35,164.65,-9.42%,346,6759,28.45%,0.238543,2.0%,30.9%,78.50%
