Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Ask1,"Leg2 Strike",Type,Bid2,"Leg3 Strike",Type,Bid3,"Leg4 Strike",Type,Ask4,BE+,BE-,"Max Profit","Max Loss",Risk/Reward,"IV Rank","Loss Prob"
IWM,234.28,2025-10-17,52,210.00,Put,1.38,215.00,Put,1.85,240.00,Call,5.1,245.00,Call,3.4,242.17,212.83,2.17,2.83,"1.30 to 1",8.53%,44.7%
IWM,234.28,2025-10-17,52,210.00,Put,1.38,220.00,Put,2.6,240.00,Call,5.1,250.00,Call,2.17,244.15,215.85,4.15,5.85,"1.41 to 1",8.53%,44.8%
QQQ,572.61,2025-09-30,35,500.00,Put,1.03,510.00,Put,1.32,580.00,Call,8.19,590.00,Call,4.12,584.36,505.64,4.36,5.64,"1.29 to 1",6.89%,34.5%
QQQ,572.61,2025-09-30,35,530.00,Put,2.43,535.00,Put,2.8,585.00,Call,5.9,590.00,Call,4.12,587.15,532.85,2.15,2.85,"1.33 to 1",6.89%,37.7%
QQQ,572.61,2025-10-17,52,520.00,Put,3.16,530.00,Put,4.01,590.00,Call,7.11,600.00,Call,3.92,594.04,525.96,4.04,5.96,"1.48 to 1",6.89%,36.8%
SPY,645.16,2025-10-17,52,565.00,Put,1.46,575.00,Put,1.77,655.00,Call,7.93,665.00,Call,4.04,659.2,570.8,4.2,5.8,"1.38 to 1",5.89%,32.3%
SPY,645.16,2025-10-17,52,575.00,Put,1.79,585.00,Put,2.21,655.00,Call,7.93,665.00,Call,4.04,659.31,580.69,4.31,5.69,"1.32 to 1",5.89%,32.9%
SPY,645.16,2025-10-17,52,595.00,Put,2.8,605.00,Put,3.54,655.00,Call,7.93,665.00,Call,4.04,659.63,600.37,4.63,5.37,"1.16 to 1",5.89%,37.3%
SPY,645.16,2025-09-30,35,600.00,Put,1.71,605.00,Put,1.97,655.00,Call,4.67,660.00,Call,2.95,656.98,603.02,1.98,3.02,"1.53 to 1",5.89%,33.0%
"Downloaded from Barchart.com as of 08-26-2025 10:12pm CDT"
