Symbol,"Exp Date",DTE,Strike,Type,Bid,Ask,Ask,Last,%Chg~,Volume~,Moneyness,Volume,"Open Int","IV Rank","Vol %Chg",Delta,Theta,Gamma,Vega,"BE (Ask)","%BE (Ask)","ITM Prob","Short Term~","52W High~"
BRK.B,2026-06-18,295,410.00,Call,495,496.5,108.1,105.88,+0.71%,4362686,+17.28%,31,520,3.27%,+210.00%,0.878351,-0.072452,0.001941,0.900133,518.1,4.53%,81.70%,"50% Sell",542.07
GLD,2026-06-18,295,280.00,Call,312.54,312.62,45,44.7,+0.20%,4235552,+10.45%,25,4267,11.14%,-86.63%,0.870581,-0.040542,0.00499,0.59289,325,3.94%,79.30%,"100% Buy",317.63
BRK.B,2027-01-15,506,420.00,Call,495,496.5,113.95,112.22,+0.71%,4362686,+15.27%,28,410,3.27%,0.00%,0.826025,-0.066057,0.001891,1.498954,533.95,7.72%,72.73%,"50% Sell",542.07
NVDA,2026-06-18,295,140.00,Call,174.65,174.79,55,54.8,-0.09%,202196529,+22.90%,323,14888,27.35%,+303.75%,0.821313,-0.043213,0.003525,0.425929,195,7.38%,73.81%,"100% Buy",184.48
META,2027-01-15,506,580.00,Call,743,744,235.05,235.36,-0.89%,7992493,+22.40%,27,301,2.33%,0.00%,0.817461,-0.118718,0.000807,2.294897,815.05,9.05%,72.11%,"50% Buy",796.25
NVDA,2026-12-18,478,138.00,Call,174.65,174.79,63.65,62.2,-0.09%,202196529,+24.00%,117,3097,27.35%,"+11,600.00%",0.815048,-0.034446,0.002925,0.553774,201.65,11.05%,70.77%,"100% Buy",184.48
NVDA,2026-06-18,295,142.00,Call,174.65,174.79,55.45,53.65,-0.09%,202196529,+21.80%,27,7269,27.35%,+58.82%,0.810914,-0.044622,0.003618,0.44122,197.45,8.73%,72.48%,"100% Buy",184.48
NVDA,2026-09-18,387,140.00,Call,174.65,174.79,58.5,58.5,-0.09%,202196529,+22.90%,142,14235,27.35%,+545.45%,0.809117,-0.039223,0.003193,0.508207,198.5,9.31%,71.03%,"100% Buy",184.48
NVDA,2026-06-18,295,144.00,Call,174.65,174.79,53.75,51.69,-0.09%,202196529,+20.70%,154,1737,27.35%,"+7,600.00%",0.805593,-0.04422,0.0038,0.448791,197.75,8.90%,71.96%,"100% Buy",184.48
AAPL,2026-12-18,478,190.00,Call,230.65,230.85,58.3,58.2,+0.51%,29980113,+17.58%,120,1037,16.90%,"+5,900.00%",0.804193,-0.033269,0.003478,0.713976,248.3,7.70%,71.66%,"100% Buy",260.1
NVDA,2026-06-18,295,145.00,Call,174.65,174.79,52.65,52.7,-0.09%,202196529,+20.15%,64,5538,27.35%,+137.04%,0.799638,-0.045094,0.003834,0.457065,197.65,8.84%,71.19%,"100% Buy",184.48
AAPL,2026-06-18,295,200.00,Call,230.65,230.85,44.3,44.35,+0.51%,29980113,+13.25%,29,7196,16.90%,-30.95%,0.786061,-0.041595,0.004933,0.596798,244.3,5.97%,71.26%,"100% Buy",260.1
QQQ,2026-09-18,387,500.00,Call,570.82,570.93,111.56,110.98,+0.15%,35407624,+12.86%,26,348,7.85%,+766.67%,0.784216,-0.085381,0.001946,1.702153,611.56,6.59%,70.29%,"100% Buy",583.32
IWM,2026-06-18,295,210.00,Call,235.69,235.72,37.98,37.86,+0.71%,24910980,+11.00%,85,18936,9.01%,"+4,150.00%",0.76462,-0.035743,0.005802,0.633622,247.98,5.10%,70.33%,"100% Buy",244.98
CSCO,2026-06-18,295,60.00,Call,68.44,68.73,11.5,11.55,+0.07%,13697920,+12.34%,34,366,17.04%,0.00%,0.759906,-0.008957,0.018964,0.181528,71.5,4.46%,71.89%,"50% Buy",72.55
"Downloaded from Barchart.com as of 08-27-2025 03:40pm CDT"
