Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Ask1,"Leg2 Strike",Type,Bid2,BE,BE%,"Max Profit","Max Loss","Max Profit%",Risk/Reward,"IV Rank","Profit Prob"
GLD,313.84,2025-09-19,22,303.00,Call,12.5,313.00,Call,5.3,310.2,-1.16%,2.8,7.2,+38.89%,"2.57 to 1",11.00%,62.8%
GLD,313.84,2025-09-19,22,303.00,Call,12.5,314.00,Call,4.8,310.7,-1.00%,3.3,7.7,+42.86%,"2.33 to 1",11.00%,61.1%
GLD,313.84,2025-09-19,22,303.00,Call,12.5,315.00,Call,4.3,311.2,-0.84%,3.8,8.2,+46.34%,"2.16 to 1",11.00%,59.4%
GLD,313.84,2025-09-19,22,308.00,Call,8.65,313.00,Call,5.3,311.35,-0.79%,1.65,3.35,+49.25%,"2.03 to 1",11.00%,58.8%
GLD,313.84,2025-09-19,22,308.00,Call,8.65,314.00,Call,4.8,311.85,-0.63%,2.15,3.85,+55.84%,"1.79 to 1",11.00%,57.1%
GLD,313.84,2025-09-19,22,308.00,Call,8.65,315.00,Call,4.3,312.35,-0.47%,2.65,4.35,+60.92%,"1.64 to 1",11.00%,55.3%
GLD,313.84,2025-09-19,22,310.00,Call,7.15,313.00,Call,5.3,311.85,-0.63%,1.15,1.85,+62.16%,"1.61 to 1",11.00%,57.1%
GLD,313.84,2025-09-19,22,310.00,Call,7.15,314.00,Call,4.8,312.35,-0.47%,1.65,2.35,+70.21%,"1.42 to 1",11.00%,55.3%
GLD,313.84,2025-09-19,22,310.00,Call,7.15,315.00,Call,4.3,312.85,-0.32%,2.15,2.85,+75.44%,"1.33 to 1",11.00%,53.5%
IWM,236.09,2025-09-19,22,230.00,Call,8.64,235.00,Call,5.34,233.3,-1.18%,1.7,3.3,+51.52%,"1.94 to 1",7.38%,59.1%
IWM,236.09,2025-09-19,22,230.00,Call,8.64,236.00,Call,4.8,233.84,-0.95%,2.16,3.84,+56.25%,"1.78 to 1",7.38%,57.3%
IWM,236.09,2025-09-19,22,230.00,Call,8.64,237.00,Call,4.29,234.35,-0.74%,2.65,4.35,+60.92%,"1.64 to 1",7.38%,55.7%
IWM,236.09,2025-09-30,33,223.00,Call,14.86,235.00,Call,6.21,231.65,-1.88%,3.35,8.65,+38.73%,"2.58 to 1",7.38%,62.4%
QQQ,574.68,2025-10-17,50,568.00,Call,19.67,575.00,Call,14.9,572.77,-0.33%,2.23,4.77,+46.75%,"2.14 to 1",5.30%,52.2%
QQQ,574.68,2025-09-19,22,565.00,Call,16.17,573.00,Call,10.34,570.83,-0.67%,2.17,5.83,+37.22%,"2.69 to 1",5.30%,57.0%
QQQ,574.68,2025-09-19,22,565.00,Call,16.17,574.00,Call,9.75,571.42,-0.57%,2.58,6.42,+40.19%,"2.49 to 1",5.30%,55.9%
QQQ,574.68,2025-09-19,22,565.00,Call,16.17,575.00,Call,9.14,572.03,-0.46%,2.97,7.03,+42.25%,"2.37 to 1",5.30%,54.8%
QQQ,574.68,2025-09-19,22,565.00,Call,16.17,576.00,Call,8.55,572.62,-0.36%,3.38,7.62,+44.36%,"2.25 to 1",5.30%,53.7%
QQQ,574.68,2025-09-19,22,565.00,Call,16.17,577.00,Call,7.98,573.19,-0.26%,3.81,8.19,+46.52%,"2.15 to 1",5.30%,52.7%
SPY,646.45,2025-10-17,50,635.00,Call,20.98,645.00,Call,13.79,642.19,-0.66%,2.81,7.19,+39.08%,"2.56 to 1",5.27%,55.8%
SPY,646.45,2025-10-17,50,635.00,Call,20.98,650.00,Call,10.7,645.28,-0.18%,4.72,10.28,+45.91%,"2.18 to 1",5.27%,51.6%
SPY,646.45,2025-09-30,33,635.00,Call,17.69,647.00,Call,8.75,643.94,-0.39%,3.06,8.94,+34.23%,"2.92 to 1",5.27%,54.6%
SPY,646.45,2025-09-30,33,635.00,Call,17.69,648.00,Call,8.15,644.54,-0.30%,3.46,9.54,+36.27%,"2.76 to 1",5.27%,53.5%
TLT,86.85,2025-09-19,22,84.00,Call,3.1,87.00,Call,0.95,86.15,-0.81%,0.85,2.15,+39.53%,"2.53 to 1",0.73%,60.7%
"Downloaded from Barchart.com as of 08-28-2025 09:52am CDT"
