Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Bid1,"Leg2 Strike",Type,Ask2,BE,BE%,"Max Profit","Max Loss","Max Profit%",Risk/Reward,"IV Rank","Loss Prob"
IWM,236.09,2025-10-17,50,225.00,Put,3.2,216.00,Put,1.7,223.5,-5.33%,1.5,7.5,+20.00%,"5.00 to 1",7.38%,23.6%
IWM,236.09,2025-10-17,50,225.00,Put,3.2,217.00,Put,1.83,223.63,-5.28%,1.37,6.63,+20.66%,"4.84 to 1",7.38%,23.8%
IWM,236.09,2025-10-17,50,224.00,Put,2.98,218.00,Put,1.96,222.98,-5.55%,1.02,4.98,+20.48%,"4.88 to 1",7.38%,22.7%
IWM,236.09,2025-10-17,50,225.00,Put,3.2,218.00,Put,1.96,223.76,-5.22%,1.24,5.76,+21.53%,"4.65 to 1",7.38%,24.1%
IWM,236.09,2025-10-17,50,224.00,Put,2.98,219.00,Put,2.11,223.13,-5.49%,0.87,4.13,+21.07%,"4.75 to 1",7.38%,22.9%
IWM,236.09,2025-10-17,50,225.00,Put,3.2,219.00,Put,2.11,223.91,-5.16%,1.09,4.91,+22.20%,"4.50 to 1",7.38%,24.3%
IWM,236.09,2025-10-17,50,224.00,Put,2.98,220.00,Put,2.27,223.29,-5.42%,0.71,3.29,+21.58%,"4.63 to 1",7.38%,23.2%
IWM,236.09,2025-10-17,50,225.00,Put,3.2,220.00,Put,2.27,224.07,-5.09%,0.93,4.07,+22.85%,"4.38 to 1",7.38%,24.6%
IWM,236.09,2025-10-17,50,224.00,Put,2.98,221.00,Put,2.43,223.45,-5.35%,0.55,2.45,+22.45%,"4.45 to 1",7.38%,23.5%
IWM,236.09,2025-10-17,50,225.00,Put,3.2,221.00,Put,2.43,224.23,-5.02%,0.77,3.23,+23.84%,"4.19 to 1",7.38%,24.9%
IWM,236.09,2025-10-17,50,224.00,Put,2.98,222.00,Put,2.61,223.63,-5.28%,0.37,1.63,+22.70%,"4.41 to 1",7.38%,23.8%
IWM,236.09,2025-10-17,50,225.00,Put,3.2,222.00,Put,2.61,224.41,-4.95%,0.59,2.41,+24.48%,"4.08 to 1",7.38%,25.3%
