Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Bid1,"Leg2 Strike",Type,Ask2,BE,BE%,"Max Profit","Max Loss","Max Profit%",Risk/Reward,"IV Rank","Loss Prob"
IWM,236.07,2025-10-17,50,225.00,Put,3.13,217.00,Put,1.79,223.66,-5.26%,1.34,6.66,+20.12%,"4.97 to 1",7.56%,23.9%
IWM,236.07,2025-10-17,50,225.00,Put,3.13,218.00,Put,1.92,223.79,-5.20%,1.21,5.79,+20.90%,"4.79 to 1",7.56%,24.2%
IWM,236.07,2025-10-17,50,224.00,Put,2.91,219.00,Put,2.06,223.15,-5.47%,0.85,4.15,+20.48%,"4.88 to 1",7.56%,23.0%
IWM,236.07,2025-10-17,50,225.00,Put,3.13,219.00,Put,2.06,223.93,-5.14%,1.07,4.93,+21.70%,"4.61 to 1",7.56%,24.4%
IWM,236.07,2025-10-17,50,224.00,Put,2.91,220.00,Put,2.21,223.3,-5.41%,0.7,3.3,+21.21%,"4.71 to 1",7.56%,23.3%
IWM,236.07,2025-10-17,50,225.00,Put,3.13,220.00,Put,2.21,224.08,-5.08%,0.92,4.08,+22.55%,"4.43 to 1",7.56%,24.7%
IWM,236.07,2025-10-17,50,224.00,Put,2.91,221.00,Put,2.38,223.47,-5.34%,0.53,2.47,+21.46%,"4.66 to 1",7.56%,23.6%
IWM,236.07,2025-10-17,50,225.00,Put,3.13,221.00,Put,2.38,224.25,-5.01%,0.75,3.25,+23.08%,"4.33 to 1",7.56%,25.0%
IWM,236.07,2025-10-17,50,224.00,Put,2.91,222.00,Put,2.55,223.64,-5.27%,0.36,1.64,+21.95%,"4.56 to 1",7.56%,23.9%
IWM,236.07,2025-10-17,50,225.00,Put,3.13,222.00,Put,2.55,224.42,-4.93%,0.58,2.42,+23.97%,"4.17 to 1",7.56%,25.3%
IWM,236.07,2025-10-17,50,224.00,Put,2.91,223.00,Put,2.74,223.83,-5.18%,0.17,0.83,+20.48%,"4.88 to 1",7.56%,24.3%
IWM,236.07,2025-10-17,50,225.00,Put,3.13,223.00,Put,2.74,224.61,-4.85%,0.39,1.61,+24.22%,"4.13 to 1",7.56%,25.7%
IWM,236.07,2025-10-17,50,225.00,Put,3.13,224.00,Put,2.95,224.82,-4.77%,0.18,0.82,+21.95%,"4.56 to 1",7.56%,26.1%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,525.00,Put,3.16,562.09,-1.99%,7.91,37.09,+21.33%,"4.69 to 1",5.34%,37.2%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,526.00,Put,3.24,562.17,-1.97%,7.83,36.17,+21.65%,"4.62 to 1",5.34%,37.3%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,528.00,Put,3.42,562.35,-1.94%,7.65,34.35,+22.27%,"4.49 to 1",5.34%,37.5%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,530.00,Put,3.6,562.53,-1.91%,7.47,32.53,+22.96%,"4.35 to 1",5.34%,37.7%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,531.00,Put,3.7,562.63,-1.89%,7.37,31.63,+23.30%,"4.29 to 1",5.34%,37.8%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,532.00,Put,3.8,562.73,-1.87%,7.27,30.73,+23.66%,"4.23 to 1",5.34%,37.9%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,533.00,Put,3.9,562.83,-1.86%,7.17,29.83,+24.04%,"4.16 to 1",5.34%,38.0%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,534.00,Put,4.01,562.94,-1.84%,7.06,28.94,+24.40%,"4.10 to 1",5.34%,38.1%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,535.00,Put,4.12,563.05,-1.82%,6.95,28.05,+24.78%,"4.04 to 1",5.34%,38.2%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,536.00,Put,4.23,563.16,-1.80%,6.84,27.16,+25.18%,"3.97 to 1",5.34%,38.3%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,537.00,Put,4.35,563.28,-1.78%,6.72,26.28,+25.57%,"3.91 to 1",5.34%,38.5%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,538.00,Put,4.47,563.4,-1.76%,6.6,25.4,+25.98%,"3.85 to 1",5.34%,38.6%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,539.00,Put,4.59,563.52,-1.74%,6.48,24.52,+26.43%,"3.78 to 1",5.34%,38.7%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,540.00,Put,4.72,563.65,-1.71%,6.35,23.65,+26.85%,"3.72 to 1",5.34%,38.9%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,541.00,Put,4.85,563.78,-1.69%,6.22,22.78,+27.30%,"3.66 to 1",5.34%,39.0%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,542.00,Put,4.99,563.92,-1.67%,6.08,21.92,+27.74%,"3.61 to 1",5.34%,39.2%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,543.00,Put,5.13,564.06,-1.64%,5.94,21.06,+28.21%,"3.55 to 1",5.34%,39.3%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,544.00,Put,5.27,564.2,-1.62%,5.8,20.2,+28.71%,"3.48 to 1",5.34%,39.5%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,545.00,Put,5.42,564.35,-1.59%,5.65,19.35,+29.20%,"3.42 to 1",5.34%,39.7%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,547.00,Put,5.74,564.67,-1.54%,5.33,17.67,+30.16%,"3.32 to 1",5.34%,40.0%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,548.00,Put,5.9,564.83,-1.51%,5.17,16.83,+30.72%,"3.26 to 1",5.34%,40.2%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,549.00,Put,6.06,564.99,-1.48%,5.01,15.99,+31.33%,"3.19 to 1",5.34%,40.4%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,550.00,Put,6.24,565.17,-1.45%,4.83,15.17,+31.84%,"3.14 to 1",5.34%,40.6%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,551.00,Put,6.42,565.35,-1.42%,4.65,14.35,+32.40%,"3.09 to 1",5.34%,40.8%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,552.00,Put,6.58,565.51,-1.39%,4.49,13.51,+33.23%,"3.01 to 1",5.34%,41.0%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,553.00,Put,6.8,565.73,-1.35%,4.27,12.73,+33.54%,"2.98 to 1",5.34%,41.2%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,554.00,Put,6.99,565.92,-1.32%,4.08,11.92,+34.23%,"2.92 to 1",5.34%,41.4%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,555.00,Put,7.2,566.13,-1.28%,3.87,11.13,+34.77%,"2.88 to 1",5.34%,41.7%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,556.00,Put,7.38,566.31,-1.25%,3.69,10.31,+35.79%,"2.79 to 1",5.34%,41.9%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,557.00,Put,7.62,566.55,-1.21%,3.45,9.55,+36.13%,"2.77 to 1",5.34%,42.1%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,558.00,Put,7.84,566.77,-1.17%,3.23,8.77,+36.83%,"2.72 to 1",5.34%,42.4%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,559.00,Put,8.07,567,-1.13%,3,8,+37.50%,"2.67 to 1",5.34%,42.6%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,560.00,Put,8.31,567.24,-1.09%,2.76,7.24,+38.12%,"2.62 to 1",5.34%,42.9%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,561.00,Put,8.55,567.48,-1.05%,2.52,6.48,+38.89%,"2.57 to 1",5.34%,43.2%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,562.00,Put,8.8,567.73,-1.00%,2.27,5.73,+39.62%,"2.52 to 1",5.34%,43.5%
QQQ,573.48,2025-10-17,50,570.00,Put,11.07,569.00,Put,10.8,569.73,-0.65%,0.27,0.73,+36.99%,"2.70 to 1",5.34%,45.7%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,593.00,Put,2.43,640.18,-0.91%,9.82,47.18,+20.81%,"4.80 to 1",5.17%,42.0%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,594.00,Put,2.49,640.24,-0.90%,9.76,46.24,+21.11%,"4.74 to 1",5.17%,42.1%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,595.00,Put,2.55,640.3,-0.89%,9.7,45.3,+21.41%,"4.67 to 1",5.17%,42.2%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,598.00,Put,2.75,640.5,-0.86%,9.5,42.5,+22.35%,"4.47 to 1",5.17%,42.5%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,600.00,Put,2.89,640.64,-0.84%,9.36,40.64,+23.03%,"4.34 to 1",5.17%,42.6%
SPY,646.07,2025-10-17,50,645.00,Put,10.3,601.00,Put,2.96,637.66,-1.30%,7.34,36.66,+20.02%,"4.99 to 1",5.17%,38.7%
SPY,646.07,2025-10-17,50,650.00,Put,12.25,601.00,Put,2.96,640.71,-0.83%,9.29,39.71,+23.39%,"4.27 to 1",5.17%,42.7%
