Symbol,%Chg~,Volume~,Price~,"Exp Date",DTE,Strike,Type,Moneyness,Bid,Ask,Mid,Volume,"Open Int","IV Rank",Delta,Theta,"BE (Ask)","%BE (Ask)","ITM Prob","TP Ask","%TP Ask(a)","Static Ann Rtn","Ann Yield to Strike%","Exp B4 Earnings"
PLTR,-1.53%,17057473,154.32,2025-09-19,22,155.00,Call,-0.16%,7.9,8.05,7.98,215,6283,19.57%,-0.525494,0.190488,146.7,-5.20%,49.50%,8.05,86.30%,84.70%,84.56%,N/A
AVGO,+2.42%,4631899,307.52,2025-09-19,22,305.00,Call,+0.25%,15.25,15.55,15.4,107,1286,30.62%,-0.531652,0.359283,290.2,-5.09%,50.78%,14.8,80.31%,82.75%,82.95%,No
PLTR,-1.53%,17057473,154.32,2025-09-26,29,155.00,Call,-0.16%,9.1,9.3,9.2,72,951,19.57%,-0.531608,0.166911,145.45,-6.01%,49.57%,9.3,75.64%,74.01%,73.89%,N/A
AMD,+0.31%,13014801,167.65,2025-09-19,22,167.50,Call,+0.36%,7.25,7.4,7.33,553,2001,13.34%,-0.536659,0.167413,160.71,-4.40%,51.39%,6.79,67.01%,71.55%,71.81%,N/A
PLTR,-1.53%,17057473,154.32,2025-09-19,22,157.50,Call,-1.78%,6.65,6.85,6.75,206,1042,19.57%,-0.475844,0.188394,147.9,-4.43%,44.57%,6.85,73.44%,71.30%,70.05%,N/A
AVGO,+2.42%,4631899,307.52,2025-09-19,22,310.00,Call,-1.39%,12.8,13.1,12.95,970,11239,30.62%,-0.478439,0.351225,292.65,-4.28%,45.52%,13.1,71.08%,69.46%,68.50%,No
NVDA,-1.98%,101876507,178,2025-09-19,22,177.50,Call,+0.19%,6.95,7,6.98,1506,4026,9.69%,-0.539425,0.158104,170.84,-3.94%,50.83%,6.66,62.13%,64.84%,64.96%,N/A
PLTR,-1.53%,17057473,154.32,2025-09-26,29,157.50,Call,-1.78%,7.85,8.1,7.98,191,993,19.57%,-0.487515,0.163627,146.65,-5.23%,45.21%,8.1,65.88%,63.85%,62.73%,N/A
AMD,+0.31%,13014801,167.65,2025-09-26,29,167.50,Call,+0.36%,8.3,8.4,8.35,67,1246,13.34%,-0.540435,0.146983,159.71,-5.00%,51.21%,7.79,58.32%,62.14%,62.37%,N/A
PLTR,-1.53%,17057473,154.32,2025-10-03,36,157.50,Call,-1.78%,9.1,9.3,9.2,78,355,19.57%,-0.498475,0.150175,145.45,-6.01%,45.77%,9.3,60.93%,59.62%,58.58%,N/A
AMD,+0.31%,13014801,167.65,2025-09-19,22,170.00,Call,-1.12%,6,6.15,6.08,1519,12950,13.34%,-0.479141,0.164913,161.96,-3.66%,45.67%,6.15,60.69%,59.21%,58.56%,N/A
PLTR,-1.53%,17057473,154.32,2025-09-19,22,160.00,Call,-3.39%,5.6,5.7,5.65,781,11488,19.57%,-0.425628,0.18206,149.05,-3.68%,39.64%,5.7,61.11%,60.04%,58.07%,N/A
CRM,+1.16%,1250776,253.06,2025-09-19,22,260.00,Call,-3.43%,8.9,9.15,9.03,93,4727,62.22%,-0.436701,0.275818,242.22,-3.64%,38.69%,9.15,60.39%,58.74%,56.79%,No
AVGO,+2.42%,4631899,307.52,2025-09-19,22,315.00,Call,-3.03%,10.65,10.95,10.8,82,351,30.62%,-0.425721,0.341533,294.8,-3.58%,40.31%,10.95,59.42%,57.79%,56.09%,No
GOOGL,+1.43%,7779717,210.45,2025-09-19,22,210.00,Call,-0.11%,6.9,7,6.95,2313,84448,26.53%,-0.533577,0.160569,202.77,-3.34%,49.44%,7,55.36%,56.23%,54.51%,N/A
PLTR,-1.53%,17057473,154.32,2025-09-26,29,160.00,Call,-3.39%,6.8,7,6.9,207,2904,19.57%,-0.444375,0.160963,147.75,-4.52%,40.96%,7,56.93%,55.31%,53.49%,N/A
