Symbol,%Chg~,Volume~,Price~,"Exp Date",DTE,Strike,Type,Moneyness,Bid,Ask,Mid,Volume,"Open Int","IV Rank",Delta,Theta,"BE (Ask)","%BE (Ask)","ITM Prob","TP Ask","%TP Ask(a)","Static Ann Rtn","Ann Yield to Strike%","Exp B4 Earnings"
AVGO,+2.56%,1029767,307.95,2025-09-19,23,300.00,Call,+0.08%,15.8,16.1,15.95,1395,10243,36.26%,-0.535151,0.353041,284.15,-5.36%,50.25%,15.85,83.77%,83.51%,83.58%,No
PLTR,-0.45%,2858023,156.01,2025-09-19,23,157.50,Call,-0.50%,8.1,8.25,8.18,676,887,19.70%,-0.520035,0.190448,148.47,-5.26%,48.52%,8.25,83.54%,82.02%,81.61%,N/A
CRM,+0.37%,222411,251.08,2025-09-19,23,250.00,Call,+0.06%,12.25,12.5,12.38,467,3595,64.70%,-0.533451,0.270649,237.66,-5.00%,50.21%,12.34,78.28%,77.71%,77.76%,No
AVGO,+2.56%,1029767,307.95,2025-09-19,23,302.50,Call,-0.75%,14.55,14.9,14.73,107,368,36.26%,-0.509572,0.350934,285.35,-4.96%,47.71%,14.9,78.75%,76.90%,76.33%,No
PLTR,-0.45%,2858023,156.01,2025-09-26,30,157.50,Call,-0.50%,9.3,9.5,9.4,831,819,19.70%,-0.526696,0.166154,147.22,-6.06%,48.69%,9.5,73.75%,72.20%,71.84%,N/A
NVDA,-0.74%,28460470,180.25,2025-09-19,23,182.50,Call,-0.50%,8.05,8.15,8.1,9809,6864,27.35%,-0.51525,0.191387,173.45,-4.49%,48.29%,8.15,71.22%,70.35%,70.00%,N/A
AVGO,+2.56%,1029767,307.95,2025-09-26,30,300.00,Call,+0.08%,16.9,17.35,17.13,134,421,36.26%,-0.538436,0.291377,282.9,-5.78%,50.24%,17.1,69.29%,68.48%,68.54%,No
PLTR,-0.45%,2858023,156.01,2025-09-19,23,160.00,Call,-2.09%,6.9,7,6.95,3546,11254,19.70%,-0.472219,0.187431,149.72,-4.47%,43.78%,7,70.88%,69.87%,68.44%,N/A
AMD,+2.03%,2278533,170.52,2025-09-19,23,167.50,Call,-0.22%,7.15,7.35,7.25,548,1912,15.50%,-0.523689,0.167761,159.78,-4.40%,49.19%,7.35,69.79%,67.89%,67.74%,N/A
AVGO,+2.56%,1029767,307.95,2025-09-19,23,305.00,Call,-1.58%,13,13.7,13.35,162,1249,36.26%,-0.48391,0.348225,286.55,-4.56%,45.16%,13.7,72.41%,68.71%,67.64%,No
CRM,+0.37%,222411,251.08,2025-09-19,23,255.00,Call,-1.93%,10,10.25,10.13,121,384,64.70%,-0.467347,0.268648,239.91,-4.10%,43.63%,10.25,65.02%,63.44%,62.23%,No
PLTR,-0.45%,2858023,156.01,2025-09-26,30,160.00,Call,-2.09%,8.1,8.25,8.18,1236,2206,19.70%,-0.484049,0.16339,148.47,-5.26%,44.47%,8.25,64.05%,62.88%,61.59%,N/A
NVDA,-0.74%,28460470,180.25,2025-09-19,23,185.00,Call,-1.87%,6.9,7,6.95,14115,107149,27.35%,-0.467338,0.188107,174.6,-3.85%,43.54%,7,61.17%,60.30%,59.19%,N/A
NVO,-0.30%,943861,56.27,2025-09-19,23,57.00,Call,-0.99%,2.06,2.15,2.11,1477,323,32.29%,-0.486611,0.052667,54.29,-3.81%,46.29%,2.15,60.45%,57.92%,57.35%,N/A
PLTR,-0.45%,2858023,156.01,2025-09-19,23,162.50,Call,-3.69%,5.85,5.95,5.9,784,1899,19.70%,-0.424189,0.181462,150.77,-3.80%,39.08%,5.95,60.25%,59.24%,57.13%,N/A
