Symbol,"Exp Date",DTE,Strike,Type,Bid,Ask,Ask,Last,%Chg~,Volume~,Moneyness,Volume,"Open Int","IV Rank","Vol %Chg",Delta,Theta,Gamma,Vega,"BE (Ask)","%BE (Ask)","ITM Prob","Short Term~","52W High~"
BRK.B,2026-06-18,295,410.00,Call,496.25,496.5,108.1,105.88,+0.66%,215899,+17.29%,31,520,3.27%,+210.00%,0.878351,-0.072452,0.001941,0.900133,518.1,4.51%,81.72%,"50% Sell",542.07
GLD,2026-06-18,295,280.00,Call,313.23,313.24,45,44.7,+0.36%,281871,+10.46%,25,4267,12.21%,-86.63%,0.870581,-0.040542,0.00499,0.59289,325,3.93%,79.32%,"100% Buy",317.63
BRK.B,2027-01-15,506,420.00,Call,496.25,496.5,113.95,112.22,+0.66%,215899,+15.27%,28,410,3.27%,0.00%,0.826025,-0.066057,0.001891,1.498954,533.95,7.71%,72.75%,"50% Sell",542.07
NVDA,2026-06-18,295,140.00,Call,180.84,180.86,55,54.8,-1.90%,29980340,+22.91%,323,14888,8.74%,+303.75%,0.822117,-0.043039,0.003526,0.424922,195,7.38%,73.89%,"100% Buy",184.48
META,2027-01-15,506,580.00,Call,750.39,750.91,235.05,235.36,-0.36%,445398,+22.40%,27,301,3.47%,0.00%,0.817461,-0.118718,0.000807,2.294897,815.05,9.05%,72.11%,"50% Buy",796.25
NVDA,2026-12-18,478,138.00,Call,180.84,180.86,63.65,62.2,-1.90%,29980340,+24.01%,117,3097,8.74%,"+11,600.00%",0.815612,-0.034354,0.002927,0.552987,201.65,11.04%,70.83%,"100% Buy",184.48
NVDA,2026-06-18,295,142.00,Call,180.84,180.86,55.45,53.65,-1.90%,29980340,+21.81%,27,7269,8.74%,+58.82%,0.811675,-0.044457,0.00362,0.440335,197.45,8.73%,72.56%,"100% Buy",184.48
NVDA,2026-09-18,387,140.00,Call,180.84,180.86,58.5,58.5,-1.90%,29980340,+22.91%,142,14235,8.74%,+545.45%,0.809732,-0.039107,0.003195,0.507443,198.5,9.31%,71.10%,"100% Buy",184.48
NVDA,2026-06-18,295,144.00,Call,180.84,180.86,53.75,51.69,-1.90%,29980340,+20.70%,154,1737,8.74%,"+7,600.00%",0.806375,-0.044058,0.003802,0.447904,197.75,8.89%,72.03%,"100% Buy",184.48
AAPL,2026-12-18,478,190.00,Call,230.31,230.34,58.3,58.2,-0.29%,4079285,+17.57%,120,1037,17.44%,"+5,900.00%",0.804193,-0.033269,0.003478,0.713976,248.3,7.73%,71.64%,"100% Buy",260.1
NVDA,2026-06-18,295,145.00,Call,180.84,180.86,52.65,52.7,-1.90%,29980340,+20.15%,64,5538,8.74%,+137.04%,0.800391,-0.044937,0.003837,0.456248,197.65,8.84%,71.26%,"100% Buy",184.48
AAPL,2026-06-18,295,200.00,Call,230.31,230.34,44.3,44.35,-0.29%,4079285,+13.23%,29,7196,17.44%,-30.95%,0.786061,-0.041595,0.004933,0.596798,244.3,5.99%,71.23%,"100% Buy",260.1
QQQ,2026-09-18,387,500.00,Call,575.86,575.87,111.56,110.98,-0.04%,3835158,+12.81%,26,348,5.55%,+766.67%,0.784216,-0.085381,0.001946,1.702153,611.56,6.64%,70.22%,"100% Buy",583.32
IWM,2026-06-18,295,210.00,Call,236.39,236.4,39.68,37.86,-0.01%,1333739,+10.99%,85,18936,8.49%,"+4,150.00%",0.76462,-0.035743,0.005802,0.633622,249.68,5.82%,70.32%,"100% Buy",244.98
CSCO,2026-06-18,295,60.00,Call,68.82,68.85,11.5,11.55,+0.64%,221863,+12.33%,34,366,18.55%,0.00%,0.759906,-0.008957,0.018964,0.181528,71.5,4.47%,71.87%,"100% Buy",72.55
"Downloaded from Barchart.com as of 08-28-2025 08:53am CDT"
