Symbol,Price~,"Exp Leg1","Leg1 Strike",Type,Ask1,"Exp Leg2","Leg2 Strike",Type,Bid2,"Net Debit","Leg1 IV","Leg2 IV","(IV Skew)","IV Rank",IV/HV,"Net Delta","Net Vega"
GLD,315.03,2026-01-16,298.00,Call,25.6,2025-10-17,335.00,Call,1.92,23.68,14.82%,16.71%,1.89%,14.81%,1.1228976563102,0.60284,0.233554
GLD,315.03,2026-01-16,298.00,Call,25.6,2025-10-17,340.00,Call,1.3,24.3,14.82%,16.94%,2.12%,14.81%,1.1228976563102,0.658341,0.296457
GLD,315.03,2026-01-16,295.00,Call,27.9,2025-10-17,335.00,Call,1.92,25.98,14.75%,16.71%,1.96%,14.81%,1.1228976563102,0.633462,0.180475
GLD,315.03,2026-01-16,295.00,Call,27.9,2025-10-17,340.00,Call,1.3,26.6,14.75%,16.94%,2.19%,14.81%,1.1228976563102,0.688963,0.243378
GLD,315.03,2026-01-16,290.00,Call,31.95,2025-10-17,335.00,Call,1.92,30.03,14.70%,16.71%,2.01%,14.81%,1.1228976563102,0.677766,0.090683
GLD,315.03,2026-01-16,290.00,Call,31.95,2025-10-17,340.00,Call,1.3,30.65,14.70%,16.94%,2.24%,14.81%,1.1228976563102,0.733266,0.153586
GLD,315.03,2026-01-16,285.00,Call,36.25,2025-10-17,335.00,Call,1.92,34.33,14.83%,16.71%,1.88%,14.81%,1.1228976563102,0.711706,0.009608
GLD,315.03,2026-01-16,285.00,Call,36.25,2025-10-17,340.00,Call,1.3,34.95,14.83%,16.94%,2.11%,14.81%,1.1228976563102,0.767206,0.072511
GLD,315.03,2026-01-16,280.00,Call,40.7,2025-10-17,335.00,Call,1.92,38.78,14.23%,16.71%,2.48%,14.81%,1.1228976563102,0.747447,-0.090563
GLD,315.03,2026-01-16,280.00,Call,40.7,2025-10-17,340.00,Call,1.3,39.4,14.23%,16.94%,2.71%,14.81%,1.1228976563102,0.802947,-0.02766
GLD,315.03,2026-01-16,275.00,Call,45.45,2025-10-17,335.00,Call,1.92,43.53,15.10%,16.71%,1.61%,14.81%,1.1228976563102,0.758972,-0.127047
GLD,315.03,2026-01-16,275.00,Call,45.45,2025-10-17,340.00,Call,1.3,44.15,15.10%,16.94%,1.84%,14.81%,1.1228976563102,0.814473,-0.064144
GLD,315.03,2026-01-16,270.00,Call,50.15,2025-10-17,335.00,Call,1.92,48.23,13.56%,16.71%,3.15%,14.81%,1.1228976563102,0.787002,-0.22838
GLD,315.03,2026-01-16,270.00,Call,50.15,2025-10-17,340.00,Call,1.3,48.85,13.56%,16.94%,3.38%,14.81%,1.1228976563102,0.842503,-0.165477
GLD,315.03,2026-01-16,265.00,Call,56.55,2025-10-17,335.00,Call,1.92,54.63,16.37%,16.71%,0.34%,14.81%,1.1228976563102,0.778435,-0.195038
GLD,315.03,2026-01-16,265.00,Call,56.55,2025-10-17,340.00,Call,1.3,55.25,16.37%,16.94%,0.57%,14.81%,1.1228976563102,0.833936,-0.132135
GLD,315.03,2025-12-19,298.00,Call,24.15,2025-10-17,335.00,Call,1.92,22.23,14.72%,16.71%,1.99%,14.81%,1.1228976563102,0.617238,0.153949
GLD,315.03,2025-12-19,298.00,Call,24.15,2025-10-17,340.00,Call,1.3,22.85,14.72%,16.94%,2.22%,14.81%,1.1228976563102,0.672738,0.216852
GLD,315.03,2025-12-19,295.00,Call,26.5,2025-10-17,335.00,Call,1.92,24.58,15.06%,16.71%,1.65%,14.81%,1.1228976563102,0.643887,0.110404
GLD,315.03,2025-12-19,295.00,Call,26.5,2025-10-17,340.00,Call,1.3,25.2,15.06%,16.94%,1.88%,14.81%,1.1228976563102,0.699388,0.173307
GLD,315.03,2025-12-19,290.00,Call,30.7,2025-10-17,335.00,Call,1.92,28.78,15.12%,16.71%,1.59%,14.81%,1.1228976563102,0.688062,0.026722
GLD,315.03,2025-12-19,290.00,Call,30.7,2025-10-17,340.00,Call,1.3,29.4,15.12%,16.94%,1.82%,14.81%,1.1228976563102,0.743563,0.089626
GLD,315.03,2025-12-31,290.00,Call,31.15,2025-10-17,335.00,Call,1.92,29.23,14.59%,16.71%,2.12%,14.81%,1.1228976563102,0.688207,0.044362
GLD,315.03,2025-12-31,290.00,Call,31.15,2025-10-17,340.00,Call,1.3,29.85,14.59%,16.94%,2.35%,14.81%,1.1228976563102,0.743708,0.107265
GLD,315.03,2025-11-21,295.00,Call,24.75,2025-10-17,335.00,Call,1.92,22.83,13.98%,16.71%,2.73%,14.81%,1.1228976563102,0.683509,-0.011197
GLD,315.03,2025-11-21,295.00,Call,24.75,2025-10-17,340.00,Call,1.3,23.45,13.98%,16.94%,2.96%,14.81%,1.1228976563102,0.739009,0.051706
GLD,315.03,2025-11-21,280.00,Call,38.55,2025-10-17,335.00,Call,1.92,36.63,14.83%,16.71%,1.88%,14.81%,1.1228976563102,0.772445,-0.205995
GLD,315.03,2025-11-21,280.00,Call,38.55,2025-10-17,340.00,Call,1.3,37.25,14.83%,16.94%,2.11%,14.81%,1.1228976563102,0.827945,-0.143092
"Downloaded from Barchart.com as of 08-28-2025 08:32pm CDT"
