Symbol,Ask,Bid,%Chg~,Volume~,"Exp Date",DTE,Strike,Type,Moneyness,Ask,Last,Volume,"Total OI","IV Rank",Delta,Theta,Vega,"BE (Ask)","%BE (Ask)","Yield to Strike%","Ann Yield to Strike%","ITM Prob","OTM Prob","Short Term~"
PLTR,156.85,156.81,-0.01%,38654523,2025-09-19,22,145.00,Put,-6.99%,3.45,3.45,592,3850153,16.33%,0.260315,0.14655,-0.12434,141.55,-9.20%,2.31%,38.33%,29.08%,70.92%,Buy
AMD,167.74,167.72,+0.66%,26625914,2025-09-19,22,160.00,Put,-4.29%,3.2,3.25,737,3887574,9.89%,0.28993,0.123681,-0.140972,156.8,-6.21%,1.97%,32.66%,32.87%,67.13%,Buy
GOOGL,211.91,211.89,+2.23%,16625225,2025-09-19,22,205.00,Put,-3.11%,3.5,3.44,2210,3506757,24.67%,0.310216,0.126368,-0.183615,201.5,-4.76%,1.66%,27.52%,34.32%,65.68%,Buy
NVDA,179.94,179.93,-0.85%,196940923,2025-09-19,22,172.50,Put,-3.75%,2.84,2.88,2700,19994146,2.47%,0.286339,0.111463,-0.150197,169.66,-5.34%,1.63%,27.03%,32.48%,67.52%,Buy
GOOGL,211.91,211.89,+2.23%,16625225,2025-09-19,22,202.50,Put,-4.29%,2.75,2.76,528,3506757,24.67%,0.259163,0.117921,-0.168511,199.75,-5.59%,1.34%,22.20%,28.98%,71.02%,Buy
SMH,298.96,298.94,+0.47%,4390272,2025-09-19,22,290.00,Put,-2.91%,3.9,4,2654,1105619,0.00%,0.298307,0.145794,-0.254445,286.1,-4.22%,1.31%,21.74%,32.74%,67.26%,Buy
NVDA,179.94,179.93,-0.85%,196940923,2025-09-19,22,170.00,Put,-5.15%,2.21,2.19,42826,19994146,2.47%,0.23416,0.103023,-0.135398,167.79,-6.38%,1.29%,21.47%,26.92%,73.08%,Buy
NVDA,179.94,179.93,-0.85%,196940923,2025-09-26,29,170.00,Put,-5.15%,2.9,2.87,3788,19994146,2.47%,0.257034,0.093092,-0.163415,167.1,-6.77%,1.68%,21.17%,29.53%,70.47%,Buy
NVDA,179.94,179.93,-0.85%,196940923,2025-10-03,36,170.00,Put,-5.15%,3.55,3.5,1257,19994146,2.47%,0.273458,0.085504,-0.187855,166.45,-7.13%,2.06%,20.87%,31.49%,68.51%,Buy
AMZN,231.8,231.78,+1.29%,16905678,2025-09-19,22,225.00,Put,-2.97%,2.59,2.59,1721,3810894,1.21%,0.289674,0.100506,-0.194484,222.41,-4.09%,1.14%,18.88%,30.72%,69.28%,Buy
