Symbol,Price~,"Exp Date",DTE,Strike,Type,Moneyness,Bid,"BE (Bid)","%BE (Bid)",Volume,"Open Int","IV Rank",Delta,Return,"Ann Rtn","Profit Prob"
AAPL,232.74,2025-09-19,22,225.00,Put,-3.33%,2.38,222.62,-4.35%,2022,13498,15.11%,0.264715,1.1%,17.7%,76.28%
AMD,167.18,2025-09-19,22,160.00,Put,-4.29%,3.15,156.85,-6.18%,737,11289,9.89%,0.28993,2.0%,33.3%,74.04%
AMZN,231.89,2025-09-26,29,220.00,Put,-5.13%,2.03,217.97,-6.00%,269,2723,1.21%,0.211112,0.9%,11.7%,80.74%
AMZN,231.89,2025-09-19,22,225.00,Put,-2.97%,2.56,222.44,-4.08%,1721,8167,1.21%,0.289674,1.2%,19.1%,75.64%
AMZN,231.89,2025-09-19,22,222.50,Put,-4.05%,1.97,220.53,-4.90%,771,1608,1.21%,0.232679,0.9%,14.8%,79.51%
CSCO,69.25,2025-09-19,22,67.50,Put,-2.53%,0.48,67.02,-3.22%,767,4883,14.36%,0.261581,0.7%,11.9%,77.29%
CSCO,69.25,2025-09-19,22,67.00,Put,-3.25%,0.37,66.63,-3.78%,2054,1397,14.36%,0.215258,0.6%,9.2%,80.46%
GOOGL,211.58,2025-09-19,22,205.00,Put,-3.11%,3.4,201.6,-4.72%,2210,10493,24.67%,0.310216,1.7%,28.0%,73.16%
GOOGL,211.58,2025-09-19,22,202.50,Put,-4.29%,2.71,199.79,-5.57%,528,3666,24.67%,0.259163,1.4%,22.5%,76.55%
GOOGL,211.58,2025-09-19,22,200.00,Put,-5.47%,2.14,197.86,-6.48%,4310,9214,24.67%,0.215061,1.1%,17.9%,79.68%
IWM,235.85,2025-09-19,22,230.00,Put,-2.48%,2.58,227.42,-3.57%,695,45021,6.61%,0.304348,1.1%,18.8%,74.57%
IWM,235.85,2025-09-19,22,228.00,Put,-3.33%,2.05,225.95,-4.20%,265,51196,6.61%,0.253929,0.9%,15.1%,77.86%
META,750.9,2025-09-19,22,720.00,Put,-4.12%,7.1,712.9,-5.06%,290,2036,0.74%,0.238769,1.0%,16.5%,78.37%
MSFT,507.95,2025-09-19,22,495.00,Put,-2.55%,3.85,491.15,-3.31%,393,3883,4.25%,0.266654,0.8%,13.0%,76.46%
MSFT,507.95,2025-09-19,22,490.00,Put,-3.53%,2.87,487.13,-4.10%,1097,9955,4.25%,0.207518,0.6%,9.8%,80.71%
NFLX,1232.84,2025-09-19,22,"1,180.00",Put,-4.29%,9.45,1170.55,-5.05%,419,1197,5.97%,0.209397,0.8%,13.4%,79.22%
NVDA,179.23,2025-09-19,22,172.50,Put,-3.75%,2.81,169.69,-5.32%,2700,3973,2.47%,0.286339,1.7%,27.5%,74.19%
NVDA,179.23,2025-09-19,22,170.00,Put,-5.15%,2.2,167.8,-6.38%,42826,83477,2.47%,0.23416,1.3%,21.8%,77.84%
NVDA,179.23,2025-10-03,36,170.00,Put,-5.15%,3.5,166.5,-7.10%,1257,1564,2.47%,0.273458,2.1%,21.3%,74.91%
NVDA,179.23,2025-09-26,29,170.00,Put,-5.15%,2.86,167.14,-6.75%,3788,4200,2.47%,0.257034,1.7%,21.5%,76.13%
PLTR,155.89,2025-09-19,22,145.00,Put,-6.99%,3.35,141.65,-9.13%,592,6591,16.33%,0.260315,2.4%,39.2%,76.70%
QQQ,576.42,2025-09-26,29,560.00,Put,-2.85%,4.61,555.39,-3.65%,1373,6604,4.35%,0.255535,0.8%,10.4%,76.64%
QQQ,576.42,2025-09-19,22,564.00,Put,-2.15%,4.13,559.87,-2.87%,382,2941,4.35%,0.272963,0.7%,12.2%,75.56%
QQQ,576.42,2025-09-19,22,563.00,Put,-2.33%,3.94,559.06,-3.01%,1571,4119,4.35%,0.26126,0.7%,11.7%,76.37%
QQQ,576.42,2025-09-19,22,562.00,Put,-2.50%,3.76,558.24,-3.15%,382,1182,4.35%,0.249937,0.7%,11.2%,77.17%
QQQ,576.42,2025-09-19,22,561.00,Put,-2.68%,3.58,557.42,-3.30%,286,2489,4.35%,0.238951,0.6%,10.7%,77.96%
