Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Ask1,"Leg2 Strike",Type,Bid2,BE,BE%,"Max Profit","Max Loss","Max Profit%",Risk/Reward,"IV Rank","Profit Prob"
GLD,317.29,2025-09-19,21,310.00,Call,9.75,314.00,Call,6.8,312.95,-1.37%,1.05,2.95,+35.59%,"2.81 to 1",18.23%,64.3%
GLD,317.29,2025-09-19,21,310.00,Call,9.75,315.00,Call,6.25,313.5,-1.19%,1.5,3.5,+42.86%,"2.33 to 1",18.23%,62.6%
GLD,317.29,2025-09-19,21,310.00,Call,9.75,316.00,Call,5.75,314,-1.04%,2,4,+50.00%,"2.00 to 1",18.23%,60.9%
GLD,317.29,2025-09-19,21,310.00,Call,9.75,317.00,Call,5.25,314.5,-0.88%,2.5,4.5,+55.56%,"1.80 to 1",18.23%,59.3%
GLD,317.29,2025-09-19,21,310.00,Call,9.75,318.00,Call,4.75,315,-0.72%,3,5,+60.00%,"1.67 to 1",18.23%,57.6%
GLD,317.29,2025-09-19,21,311.00,Call,9.05,315.00,Call,6.25,313.8,-1.10%,1.2,2.8,+42.86%,"2.33 to 1",18.23%,61.6%
GLD,317.29,2025-09-19,21,311.00,Call,9.05,316.00,Call,5.75,314.3,-0.94%,1.7,3.3,+51.52%,"1.94 to 1",18.23%,60.0%
GLD,317.29,2025-09-19,21,311.00,Call,9.05,317.00,Call,5.25,314.8,-0.78%,2.2,3.8,+57.89%,"1.73 to 1",18.23%,58.3%
GLD,317.29,2025-09-19,21,311.00,Call,9.05,318.00,Call,4.75,315.3,-0.63%,2.7,4.3,+62.79%,"1.59 to 1",18.23%,56.7%
GLD,317.29,2025-09-19,21,312.00,Call,8.35,315.00,Call,6.25,314.1,-1.01%,0.9,2.1,+42.86%,"2.33 to 1",18.23%,60.6%
GLD,317.29,2025-09-19,21,312.00,Call,8.35,316.00,Call,5.75,314.6,-0.85%,1.4,2.6,+53.85%,"1.86 to 1",18.23%,59.0%
GLD,317.29,2025-09-19,21,312.00,Call,8.35,317.00,Call,5.25,315.1,-0.69%,1.9,3.1,+61.29%,"1.63 to 1",18.23%,57.3%
GLD,317.29,2025-09-19,21,312.00,Call,8.35,318.00,Call,4.75,315.6,-0.53%,2.4,3.6,+66.67%,"1.50 to 1",18.23%,55.7%
GLD,317.29,2025-09-19,21,313.00,Call,7.65,315.00,Call,6.25,314.4,-0.91%,0.6,1.4,+42.86%,"2.33 to 1",18.23%,59.6%
GLD,317.29,2025-09-19,21,313.00,Call,7.65,316.00,Call,5.75,314.9,-0.75%,1.1,1.9,+57.89%,"1.73 to 1",18.23%,58.0%
GLD,317.29,2025-09-19,21,313.00,Call,7.65,317.00,Call,5.25,315.4,-0.60%,1.6,2.4,+66.67%,"1.50 to 1",18.23%,56.3%
GLD,317.29,2025-09-19,21,313.00,Call,7.65,318.00,Call,4.75,315.9,-0.44%,2.1,2.9,+72.41%,"1.38 to 1",18.23%,54.7%
GLD,317.29,2025-09-19,21,314.00,Call,7,315.00,Call,6.25,314.75,-0.80%,0.25,0.75,+33.33%,"3.00 to 1",18.23%,58.5%
GLD,317.29,2025-09-19,21,314.00,Call,7,316.00,Call,5.75,315.25,-0.64%,0.75,1.25,+60.00%,"1.67 to 1",18.23%,56.8%
GLD,317.29,2025-09-19,21,314.00,Call,7,317.00,Call,5.25,315.75,-0.49%,1.25,1.75,+71.43%,"1.40 to 1",18.23%,55.2%
GLD,317.29,2025-09-19,21,314.00,Call,7,318.00,Call,4.75,316.25,-0.33%,1.75,2.25,+77.78%,"1.29 to 1",18.23%,53.5%
GLD,317.29,2025-09-30,32,310.00,Call,10.8,315.00,Call,7.4,313.4,-1.23%,1.6,3.4,+47.06%,"2.13 to 1",18.23%,60.7%
GLD,317.29,2025-09-30,32,310.00,Call,10.8,318.00,Call,5.9,314.9,-0.75%,3.1,4.9,+63.27%,"1.58 to 1",18.23%,56.6%
GLD,317.29,2025-09-30,32,310.00,Call,10.8,319.00,Call,5.45,315.35,-0.61%,3.65,5.35,+68.22%,"1.47 to 1",18.23%,55.4%
GLD,317.29,2025-10-17,49,308.00,Call,14,315.00,Call,9.4,312.6,-1.48%,2.4,4.6,+52.17%,"1.92 to 1",18.23%,60.1%
GLD,317.29,2025-10-17,49,308.00,Call,14,316.00,Call,8.85,313.15,-1.30%,2.85,5.15,+55.34%,"1.81 to 1",18.23%,59.0%
GLD,317.29,2025-10-17,49,308.00,Call,14,317.00,Call,8.35,313.65,-1.15%,3.35,5.65,+59.29%,"1.69 to 1",18.23%,57.9%
GLD,317.29,2025-10-17,49,308.00,Call,14,318.00,Call,7.85,314.15,-0.99%,3.85,6.15,+62.60%,"1.60 to 1",18.23%,56.8%
GLD,317.29,2025-10-17,49,310.00,Call,12.6,315.00,Call,9.4,313.2,-1.29%,1.8,3.2,+56.25%,"1.78 to 1",18.23%,58.8%
GLD,317.29,2025-10-17,49,310.00,Call,12.6,316.00,Call,8.85,313.75,-1.12%,2.25,3.75,+60.00%,"1.67 to 1",18.23%,57.7%
GLD,317.29,2025-10-17,49,310.00,Call,12.6,317.00,Call,8.35,314.25,-0.96%,2.75,4.25,+64.71%,"1.55 to 1",18.23%,56.6%
GLD,317.29,2025-10-17,49,310.00,Call,12.6,318.00,Call,7.85,314.75,-0.80%,3.25,4.75,+68.42%,"1.46 to 1",18.23%,55.5%
IWM,235.13,2025-09-30,32,232.00,Call,7.54,235.00,Call,5.73,233.81,-0.56%,1.19,1.81,+65.75%,"1.52 to 1",7.54%,53.7%
IWM,235.13,2025-10-17,49,220.00,Call,18.13,234.00,Call,8.03,230.1,-2.14%,3.9,10.1,+38.61%,"2.59 to 1",7.54%,61.2%
IWM,235.13,2025-10-17,49,220.00,Call,18.13,235.00,Call,7.47,230.66,-1.90%,4.34,10.66,+40.71%,"2.46 to 1",7.54%,60.0%
IWM,235.13,2025-10-17,49,220.00,Call,18.13,236.00,Call,6.93,231.2,-1.67%,4.8,11.2,+42.86%,"2.33 to 1",7.54%,58.8%
IWM,235.13,2025-10-17,49,227.00,Call,12.66,230.00,Call,10.49,229.17,-2.53%,0.83,2.17,+38.25%,"2.61 to 1",7.54%,63.3%
IWM,235.13,2025-10-17,49,227.00,Call,12.66,234.00,Call,8.03,231.63,-1.49%,2.37,4.63,+51.19%,"1.95 to 1",7.54%,57.8%
IWM,235.13,2025-10-17,49,227.00,Call,12.66,235.00,Call,7.47,232.19,-1.25%,2.81,5.19,+54.14%,"1.85 to 1",7.54%,56.6%
