Symbol,Name,Last,Change,%Chg,Open,High,Low,Time
$SPX,"S&P 500 Index",6461.6,-40.26,-0.62%,6489.28,6491.76,6444.57,"12:44 ET"
$ONE,"S&P 100 Index",3196.52,-23.68,-0.74%,3212.23,3213.9,3188.18,"12:44 ET"
$IDX,"S&P Midcap 400",3253.21,-18.49,-0.57%,3270.93,3275.82,3244.59,"12:49 ET"
$IQY,"S&P Smallcap 600",1438.36,-5.17,-0.36%,1444.31,1446.85,1434.59,"12:49 ET"
$ESG,"S&P 500 ESG",562.23,-2.89,-0.51%,563.95,563.95,560.62,"12:49 ET"
$IGX,"S&P 500 Growth",4628.35,-56.59,-1.21%,4670.24,4670.57,4616.93,"12:49 ET"
$IVX,"S&P 500 Value",2006.16,0.15000000000009,+0.01%,2004.9,2009.85,2001.68,"12:49 ET"
$IQX,"S&P 500 Equal Weighted",7622.49,-13.08,-0.17%,7635.57,7656.37,7606.31,"12:49 ET"
$SFTI,"S&P 500 Index Total Return",973.98,-6.89,-0.70%,980.98,980.98,971.72,"12:49 ET"
$SRFI,"S&P 500 Financials [Sector]",898.55,3.89,+0.43%,895.8,899.08,893.6,"12:49 ET"
$SRHC,"S&P 500 Health Care [Sector]",1593.32,6.78,+0.43%,1586.78,1596.03,1586.2,"12:49 ET"
$SREN,"S&P 500 Energy [Sector]",686.05,3.3499999999999,+0.49%,683.9,688.45,682.73,"12:49 ET"
$SRIT,"S&P 500 Information Technology [Sector]",5238.97,-82.43,-1.55%,5298.49,5298.49,5221.89,"12:49 ET"
$SRTS,"S&P 500 Communication Services [Sector]",399.84,-1.9,-0.47%,399.82,401.42,398.54,"12:49 ET"
$SRCD,"S&P 500 Consumer Discretionary [Sector]",1858.98,-22.59,-1.20%,1882.12,1884.29,1857.31,"12:49 ET"
$SRCS,"S&P 500 Consumer Staples [Sector]",884.33,2.72,+0.31%,883.06,887.06,881.52,"12:49 ET"
$SRIN,"S&P 500 Industrials [Sector]",1283.98,-12.39,-0.96%,1294.34,1294.82,1279.38,"12:49 ET"
$SRMA,"S&P 500 Materials [Sector]",584.54,0.44999999999993,+0.08%,584.1,586.91,583.09,"12:49 ET"
$SRRE,"S&P 500 Real Estate [Sector]",264.65,0.94,+0.36%,264.02,264.92,264.02,"12:49 ET"
$SRUT,"S&P 500 Utilities [Sector]",427.2,-0.6,-0.14%,427.59,428.4,426.37,"12:49 ET"
$DOWI,"Dow Jones Industrial Average",45506.53,-130.37,-0.29%,45590.96,45616.16,45377.21,"12:49 ET"
$DOWT,"Dow Jones Transportation Average",15869.33,-33.57,-0.21%,15890.49,15959.57,15819.83,"12:49 ET"
$DOWU,"Dow Jones Utility Average",1090.65,-1.49,-0.14%,1091.77,1093.17,1088.88,"12:49 ET"
$DOWC,"Dow Jones Composite Average",14170.43,-35.6,-0.25%,14193.63,14210.61,14135.97,"12:49 ET"
$IUXX,"Nasdaq 100 Index",23433,-270.45,-1.14%,23607.54,23607.54,23370.94,"12:44 ET"
$NASX,"Nasdaq Composite",21475.32,-229.84,-1.06%,21630.33,21631.15,21413.47,"12:44 ET"
$HGX,"PHLX Housing Index",742.16,-3.08,-0.41%,744.96,747.55,740.98,"12:44 ET"
$OSX,"PHLX Oil Service",65.61,0.17999999999999,+0.28%,65.44,65.93,65.24,"12:44 ET"
$SOX,"PHLX Semiconductor Index",5690.19,-162.86,-2.78%,5757.97,5758.7,5666.34,"12:44 ET"
$UTY,"PHLX Utility Index",1044.3,-1.28,-0.12%,1044.83,1047.31,1042.94,"12:44 ET"
$XAU,"PHLX Gold/Silver Index",248.94,6.72,+2.77%,242.52,249.21,242.45,"12:44 ET"
$VIX,"CBOE Volatility Index",15.4,0.97,+6.72%,14.31,15.97,14.31,"12:44 ET"
$VXN,"Nasdaq 100 VIX",18.87,1.25,+7.09%,18.07,19.44,17.91,"12:44 ET"
$GNX,"S&P GSCI Index",548.98,0.25999999999999,+0.05%,548.72,549.88,547.16,"12:49 ET"
$BCI,"DJ Commodity Index",1067.29,4.01,+0.38%,1063.17,1068.44,1061.32,"12:49 ET"
$DXY,"U.S. Dollar Index",97.78,-0.03,-0.03%,97.88,98.13,97.69,"12:49 ET"
"Downloaded from Barchart.com as of 08-29-2025 11:59am CDT"
