Symbol,Ask,Bid,%Chg~,Volume~,"Exp Date",DTE,Strike,Type,Moneyness,Ask,Last,Volume,"Total OI","IV Rank",Delta,Theta,Vega,"BE (Ask)","%BE (Ask)","Yield to Strike%","Ann Yield to Strike%","ITM Prob","OTM Prob","Short Term~"
PLTR,160.29,160.25,+1.56%,51348902,2025-09-19,24,160.00,Call,+0.66%,9.3,9.17,2290,3657659,19.19%,-0.547801,0.189462,-0.163184,151.77,-5.77%,5.75%,87.45%,51.96%,48.04%,Buy
AVGO,298.09,297.89,+1.01%,7837189,2025-09-19,24,297.50,Call,+0.35%,16.7,16.6,80,1798398,34.15%,-0.547726,0.335905,-0.303442,281.83,-5.59%,5.55%,84.35%,51.06%,48.94%,Buy
AVGO,298.09,297.89,+1.01%,7837189,2025-09-19,24,300.00,Call,-0.49%,15.45,15.2,493,1798398,34.15%,-0.522191,0.336205,-0.305173,283.08,-5.18%,5.08%,77.31%,48.50%,51.50%,Buy
PLTR,160.29,160.25,+1.56%,51348902,2025-09-19,24,162.50,Call,-0.89%,8.05,8,1212,3657659,19.19%,-0.501925,0.188453,-0.164363,153.02,-5.00%,4.86%,73.94%,47.38%,52.62%,Buy
NVDA,181.56,181.55,+0.85%,88691197,2025-09-19,24,182.50,Call,-0.45%,8.35,8.3,1541,18849266,28.24%,-0.514652,0.1876,-0.185545,173.33,-4.60%,4.52%,68.75%,48.48%,51.52%,Buy
PLTR,160.29,160.25,+1.56%,51348902,2025-09-26,31,162.50,Call,-0.89%,9.3,9.14,362,3657659,19.19%,-0.510947,0.16674,-0.186733,151.77,-5.77%,5.63%,66.30%,47.69%,52.31%,Buy
AMD,166.66,166.63,+1.78%,38746301,2025-09-19,24,167.50,Call,-0.64%,7.2,7.05,1833,3789315,16.19%,-0.511857,0.163516,-0.170284,159.24,-4.33%,4.27%,64.92%,47.73%,52.27%,Buy
AVGO,298.09,297.89,+1.01%,7837189,2025-09-26,31,300.00,Call,-0.49%,16.65,16.45,64,1798398,34.15%,-0.526271,0.279589,-0.346559,281.88,-5.58%,5.47%,64.37%,48.59%,51.41%,Buy
AVGO,298.09,297.89,+1.01%,7837189,2025-09-19,24,305.00,Call,-2.17%,13.05,12.5,88,1798398,34.15%,-0.470671,0.330905,-0.304845,285.48,-4.37%,4.21%,64.07%,43.38%,56.62%,Buy
PLTR,160.29,160.25,+1.56%,51348902,2025-09-19,24,165.00,Call,-2.44%,6.9,6.86,3766,3657659,19.19%,-0.455892,0.184988,-0.163359,154.17,-4.28%,4.15%,63.14%,42.83%,57.17%,Buy
NVO,55.01,55,-2.31%,9313560,2025-09-19,24,55.00,Call,-0.22%,2.28,2.25,1231,1164728,27.58%,-0.515591,0.048252,-0.055991,52.6,-4.15%,4.05%,61.66%,49.16%,50.84%,Sell
CRM,244.67,244.57,-1.45%,3023710,2025-09-19,24,250.00,Call,-2.23%,9.9,9.8,136,604026,66.62%,-0.461607,0.257107,-0.249023,234.65,-4.05%,3.90%,59.31%,42.84%,57.16%,Sell
NVDA,181.56,181.55,+0.85%,88691197,2025-09-19,24,185.00,Call,-1.83%,7.15,7.1,4027,18849266,28.24%,-0.467754,0.184378,-0.185063,174.53,-3.94%,3.84%,58.37%,43.82%,56.18%,Buy
PLTR,160.29,160.25,+1.56%,51348902,2025-09-26,31,165.00,Call,-2.44%,8.15,8.03,251,3657659,19.19%,-0.469942,0.163707,-0.186273,152.92,-5.06%,4.85%,57.09%,43.65%,56.35%,Buy
AMD,166.66,166.63,+1.78%,38746301,2025-09-26,31,167.50,Call,-0.64%,8.2,8.1,397,3789315,16.19%,-0.518525,0.142648,-0.193407,158.24,-4.93%,4.84%,56.94%,47.96%,52.04%,Buy
AMD,166.66,166.63,+1.78%,38746301,2025-09-19,24,170.00,Call,-2.14%,6.05,6.04,5766,3789315,16.19%,-0.458502,0.16109,-0.169437,160.39,-3.63%,3.53%,53.68%,42.44%,57.56%,Buy
AVGO,298.09,297.89,+1.01%,7837189,2025-09-19,24,310.00,Call,-3.84%,10.95,10.8,209,1798398,34.15%,-0.419255,0.320281,-0.29941,287.58,-3.67%,3.48%,52.98%,38.35%,61.65%,Buy
PLTR,160.29,160.25,+1.56%,51348902,2025-09-19,24,167.50,Call,-3.99%,5.95,6.05,446,3657659,19.19%,-0.411023,0.180201,-0.16026,155.12,-3.69%,3.46%,52.66%,38.42%,61.58%,Buy
NVDA,181.56,181.55,+0.85%,88691197,2025-09-26,31,185.00,Call,-1.83%,7.95,7.8,1201,18849266,28.24%,-0.477122,0.157164,-0.210669,173.73,-4.38%,4.24%,49.96%,44.31%,55.69%,Buy
PLTR,160.29,160.25,+1.56%,51348902,2025-09-26,31,167.50,Call,-3.99%,7.15,7.01,217,3657659,19.19%,-0.429859,0.160335,-0.183909,153.92,-4.44%,4.18%,49.21%,39.71%,60.29%,Buy
GOOGL,206.88,206.86,-0.83%,11414551,2025-09-19,24,207.50,Call,-0.03%,6.75,6.75,361,3419740,28.42%,-0.512971,0.152653,-0.211392,200.68,-3.25%,3.20%,48.74%,49.84%,50.16%,Buy
NVDA,181.56,181.55,+0.85%,88691197,2025-09-19,24,187.50,Call,-3.20%,6.1,6.04,1618,18849266,28.24%,-0.421295,0.179309,-0.182046,175.58,-3.36%,3.20%,48.67%,39.25%,60.75%,Buy
NVO,55.01,55,-2.31%,9313560,2025-09-19,24,56.00,Call,-2.04%,1.83,1.86,347,1164728,27.58%,-0.446937,0.047785,-0.055559,53.05,-3.33%,3.20%,48.61%,42.32%,57.68%,Sell
AMD,166.66,166.63,+1.78%,38746301,2025-09-26,31,170.00,Call,-2.14%,7.05,6.87,1077,3789315,16.19%,-0.471091,0.141755,-0.193107,159.39,-4.24%,4.09%,48.14%,43.25%,56.75%,Buy
