Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Bid1,"Leg2 Strike",Type,Ask2,BE,BE%,"Max Profit","Max Loss","Max Profit%",Risk/Reward,"IV Rank","Loss Prob"
GLD,318.07,2025-09-19,20,325.00,Call,2.41,328.00,Call,2.02,325.39,2.30%,0.39,2.61,+14.94%,"6.69 to 1",21.97%,28.4%
GLD,318.07,2025-09-19,20,325.00,Call,2.41,330.00,Call,1.62,325.79,2.43%,0.79,4.21,+18.76%,"5.33 to 1",21.97%,27.4%
GLD,318.07,2025-09-19,20,325.00,Call,2.41,333.00,Call,1.14,326.27,2.58%,1.27,6.73,+18.87%,"5.30 to 1",21.97%,26.2%
GLD,318.07,2025-09-19,20,325.00,Call,2.41,335.00,Call,0.91,326.5,2.65%,1.5,8.5,+17.65%,"5.67 to 1",21.97%,25.6%
GLD,318.07,2025-09-19,20,325.00,Call,2.41,340.00,Call,0.44,326.97,2.80%,1.97,13.03,+15.12%,"6.61 to 1",21.97%,24.5%
GLD,318.07,2025-09-19,20,325.00,Call,2.41,345.00,Call,0.26,327.15,2.85%,2.15,17.85,+12.04%,"8.30 to 1",21.97%,24.0%
GLD,318.07,2025-09-19,20,326.00,Call,2.13,328.00,Call,2.02,326.11,2.53%,0.11,1.89,+5.82%,"17.18 to 1",21.97%,26.6%
GLD,318.07,2025-09-19,20,326.00,Call,2.13,330.00,Call,1.62,326.51,2.65%,0.51,3.49,+14.61%,"6.84 to 1",21.97%,25.6%
GLD,318.07,2025-09-19,20,326.00,Call,2.13,333.00,Call,1.14,326.99,2.80%,0.99,6.01,+16.47%,"6.07 to 1",21.97%,24.4%
GLD,318.07,2025-09-19,20,326.00,Call,2.13,335.00,Call,0.91,327.22,2.88%,1.22,7.78,+15.68%,"6.38 to 1",21.97%,23.9%
GLD,318.07,2025-09-19,20,326.00,Call,2.13,340.00,Call,0.44,327.69,3.02%,1.69,12.31,+13.73%,"7.28 to 1",21.97%,22.8%
GLD,318.07,2025-09-19,20,326.00,Call,2.13,345.00,Call,0.26,327.87,3.08%,1.87,17.13,+10.92%,"9.16 to 1",21.97%,22.4%
GLD,318.07,2025-09-19,20,328.00,Call,1.66,333.00,Call,1.14,328.52,3.29%,0.52,4.48,+11.61%,"8.62 to 1",21.97%,20.9%
GLD,318.07,2025-09-19,20,328.00,Call,1.66,335.00,Call,0.91,328.75,3.36%,0.75,6.25,+12.00%,"8.33 to 1",21.97%,20.4%
GLD,318.07,2025-09-19,20,328.00,Call,1.66,340.00,Call,0.44,329.22,3.51%,1.22,10.78,+11.32%,"8.84 to 1",21.97%,19.4%
GLD,318.07,2025-09-19,20,328.00,Call,1.66,345.00,Call,0.26,329.4,3.56%,1.4,15.6,+8.97%,"11.14 to 1",21.97%,19.0%
GLD,318.07,2025-09-19,20,330.00,Call,1.31,333.00,Call,1.14,330.17,3.80%,0.17,2.83,+6.01%,"16.65 to 1",21.97%,17.5%
GLD,318.07,2025-09-19,20,330.00,Call,1.31,335.00,Call,0.91,330.4,3.88%,0.4,4.6,+8.70%,"11.50 to 1",21.97%,17.0%
GLD,318.07,2025-09-19,20,330.00,Call,1.31,340.00,Call,0.44,330.87,4.02%,0.87,9.13,+9.53%,"10.49 to 1",21.97%,16.1%
GLD,318.07,2025-09-19,20,330.00,Call,1.31,345.00,Call,0.26,331.05,4.08%,1.05,13.95,+7.53%,"13.29 to 1",21.97%,15.8%
GLD,318.07,2025-09-19,20,333.00,Call,0.86,340.00,Call,0.44,333.42,4.83%,0.42,6.58,+6.38%,"15.67 to 1",21.97%,11.9%
GLD,318.07,2025-09-19,20,333.00,Call,0.86,345.00,Call,0.26,333.6,4.88%,0.6,11.4,+5.26%,"19.00 to 1",21.97%,11.6%
GLD,318.07,2025-09-19,20,335.00,Call,0.65,340.00,Call,0.44,335.21,5.39%,0.21,4.79,+4.38%,"22.81 to 1",21.97%,9.4%
GLD,318.07,2025-09-19,20,335.00,Call,0.65,345.00,Call,0.26,335.39,5.45%,0.39,9.61,+4.06%,"24.64 to 1",21.97%,9.2%
IWM,235.17,2025-09-19,20,240.00,Call,2.6,241.00,Call,2.31,240.29,2.18%,0.29,0.71,+40.85%,"2.45 to 1",7.31%,33.5%
IWM,235.17,2025-09-19,20,240.00,Call,2.6,242.00,Call,1.99,240.61,2.31%,0.61,1.39,+43.88%,"2.28 to 1",7.31%,32.6%
