Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Ask1,"Leg2 Strike",Type,Bid2,BE,BE%,"Max Profit","Max Loss","Max Profit%",Risk/Reward,"IV Rank","Profit Prob"
PLTR,156.71,2025-10-17,48,150.00,Put,8.15,110.00,Put,1.02,142.87,-8.83%,32.87,7.13,+461.01%,"0.22 to 1",14.82%,30.6%
PLTR,156.71,2025-10-17,48,150.00,Put,8.15,115.00,Put,1.32,143.17,-8.64%,28.17,6.83,+412.45%,"0.24 to 1",14.82%,31.0%
PLTR,156.71,2025-10-17,48,155.00,Put,10.25,115.00,Put,1.32,146.07,-6.79%,31.07,8.93,+347.93%,"0.29 to 1",14.82%,35.0%
PLTR,156.71,2025-10-17,48,150.00,Put,8.15,120.00,Put,1.69,143.54,-8.40%,23.54,6.46,+364.40%,"0.27 to 1",14.82%,31.5%
PLTR,156.71,2025-10-17,48,155.00,Put,10.25,120.00,Put,1.69,146.44,-6.55%,26.44,8.56,+308.88%,"0.32 to 1",14.82%,35.5%
PLTR,156.71,2025-10-17,48,160.00,Put,12.8,120.00,Put,1.69,148.89,-4.99%,28.89,11.11,+260.04%,"0.38 to 1",14.82%,39.0%
PLTR,156.71,2025-10-17,48,150.00,Put,8.15,125.00,Put,2.21,144.06,-8.07%,19.06,5.94,+320.88%,"0.31 to 1",14.82%,32.3%
PLTR,156.71,2025-10-17,48,155.00,Put,10.25,125.00,Put,2.21,146.96,-6.22%,21.96,8.04,+273.13%,"0.37 to 1",14.82%,36.3%
PLTR,156.71,2025-10-17,48,160.00,Put,12.8,125.00,Put,2.21,149.41,-4.66%,24.41,10.59,+230.50%,"0.43 to 1",14.82%,39.7%
PLTR,156.71,2025-10-17,48,150.00,Put,8.15,130.00,Put,2.85,144.7,-7.66%,14.7,5.3,+277.36%,"0.36 to 1",14.82%,33.1%
PLTR,156.71,2025-10-17,48,155.00,Put,10.25,130.00,Put,2.85,147.6,-5.81%,17.6,7.4,+237.84%,"0.42 to 1",14.82%,37.2%
PLTR,156.71,2025-10-17,48,160.00,Put,12.8,130.00,Put,2.85,150.05,-4.25%,20.05,9.95,+201.51%,"0.50 to 1",14.82%,40.6%
PLTR,156.71,2025-10-17,48,150.00,Put,8.15,135.00,Put,3.75,145.6,-7.09%,10.6,4.4,+240.91%,"0.42 to 1",14.82%,34.4%
PLTR,156.71,2025-10-17,48,155.00,Put,10.25,135.00,Put,3.75,148.5,-5.24%,13.5,6.5,+207.69%,"0.48 to 1",14.82%,38.4%
PLTR,156.71,2025-10-17,48,160.00,Put,12.8,135.00,Put,3.75,150.95,-3.68%,15.95,9.05,+176.24%,"0.57 to 1",14.82%,41.9%
PLTR,156.71,2025-10-17,48,150.00,Put,8.15,140.00,Put,4.8,146.65,-6.42%,6.65,3.35,+198.51%,"0.50 to 1",14.82%,35.8%
PLTR,156.71,2025-10-17,48,155.00,Put,10.25,140.00,Put,4.8,149.55,-4.57%,9.55,5.45,+175.23%,"0.57 to 1",14.82%,39.9%
PLTR,156.71,2025-10-17,48,160.00,Put,12.8,140.00,Put,4.8,152,-3.01%,12,8,+150.00%,"0.67 to 1",14.82%,43.4%
PLTR,156.71,2025-10-17,48,150.00,Put,8.15,145.00,Put,6.2,148.05,-5.53%,3.05,1.95,+156.41%,"0.64 to 1",14.82%,37.8%
PLTR,156.71,2025-10-17,48,155.00,Put,10.25,145.00,Put,6.2,150.95,-3.68%,5.95,4.05,+146.91%,"0.68 to 1",14.82%,41.9%
PLTR,156.71,2025-10-17,48,160.00,Put,12.8,145.00,Put,6.2,153.4,-2.11%,8.4,6.6,+127.27%,"0.79 to 1",14.82%,45.3%
PLTR,156.71,2025-10-17,48,155.00,Put,10.25,150.00,Put,8,152.75,-2.53%,2.75,2.25,+122.22%,"0.82 to 1",14.82%,44.4%
PLTR,156.71,2025-10-17,48,160.00,Put,12.8,150.00,Put,8,155.2,-0.96%,5.2,4.8,+108.33%,"0.92 to 1",14.82%,47.9%
PLTR,156.71,2025-10-17,48,160.00,Put,12.8,155.00,Put,10.1,157.3,0.38%,2.3,2.7,+85.19%,"1.17 to 1",14.82%,50.8%
"Downloaded from Barchart.com as of 08-29-2025 08:50pm CDT"
