Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Ask1,"Leg2 Strike",Type,Bid2,BE,BE%,"Max Profit","Max Loss","Max Profit%",Risk/Reward,"IV Rank","Profit Prob"
NVDA,173.88,2025-12-19,112,160.00,Call,24.25,162.00,Call,22.8,161.45,-7.15%,0.55,1.45,+37.93%,"2.64 to 1",6.42%,63.3%
META,738.97,2025-12-19,112,690.00,Call,84.9,700.00,Call,77.8,697.1,-5.67%,2.9,7.1,+40.85%,"2.45 to 1",2.71%,63.1%
NVDA,173.88,2025-11-21,84,160.00,Call,22.3,165.00,Call,18.9,163.4,-6.03%,1.6,3.4,+47.06%,"2.13 to 1",6.42%,62.7%
INTC,24.44,2025-11-21,84,22.00,Call,3.75,23.00,Call,3.05,22.7,-7.12%,0.3,0.7,+42.86%,"2.33 to 1",7.21%,62.6%
BABA,136.4,2025-11-21,84,125.00,Call,17.3,130.00,Call,14.05,128.25,-5.98%,1.75,3.25,+53.85%,"1.86 to 1",24.24%,62.3%
NVDA,173.88,2025-12-19,112,160.00,Call,24.25,165.00,Call,20.95,163.3,-6.08%,1.7,3.3,+51.52%,"1.94 to 1",6.42%,61.3%
BABA,136.4,2025-12-19,112,125.00,Call,19,130.00,Call,15.65,128.35,-5.90%,1.65,3.35,+49.25%,"2.03 to 1",24.24%,60.8%
NVDA,173.88,2025-12-19,112,160.00,Call,24.25,166.00,Call,20.35,163.9,-5.74%,2.1,3.9,+53.85%,"1.86 to 1",6.42%,60.7%
AAPL,232.5,2025-12-19,112,210.00,Call,29.25,230.00,Call,14.95,224.3,-3.53%,5.7,14.3,+39.86%,"2.51 to 1",14.55%,60.6%
NVDA,173.88,2025-12-19,112,162.00,Call,22.95,165.00,Call,20.95,164,-5.68%,1,2,+50.00%,"2.00 to 1",6.42%,60.6%
NVDA,173.88,2026-01-16,140,160.00,Call,26,165.00,Call,22.75,163.25,-6.11%,1.75,3.25,+53.85%,"1.86 to 1",6.42%,60.3%
GAP,22.1,2025-12-19,112,20.00,Call,3.5,21.00,Call,2.75,20.75,-6.11%,0.25,0.75,+33.33%,"3.00 to 1",5.94%,60.0%
BABA,136.4,2026-01-16,140,125.00,Call,20.25,130.00,Call,16.9,128.35,-5.90%,1.65,3.35,+49.25%,"2.03 to 1",24.24%,59.9%
NVDA,173.88,2025-12-19,112,162.00,Call,22.95,166.00,Call,20.35,164.6,-5.34%,1.4,2.6,+53.85%,"1.86 to 1",6.42%,59.9%
NVDA,173.88,2025-12-19,112,160.00,Call,24.25,168.00,Call,19.15,165.1,-5.05%,2.9,5.1,+56.86%,"1.76 to 1",6.42%,59.4%
NVDA,173.88,2025-11-21,84,160.00,Call,22.3,170.00,Call,15.95,166.35,-4.33%,3.65,6.35,+57.48%,"1.74 to 1",6.42%,59.1%
INTC,24.44,2025-11-21,84,22.00,Call,3.75,24.00,Call,2.55,23.2,-5.07%,0.8,1.2,+66.67%,"1.50 to 1",7.21%,58.9%
B,26.69,2025-12-19,112,25.00,Call,2.94,26.00,Call,2.31,25.63,-3.97%,0.37,0.63,+58.73%,"1.70 to 1",60.60%,58.9%
NVDA,173.88,2025-12-19,112,160.00,Call,24.25,169.00,Call,18.6,165.65,-4.73%,3.35,5.65,+59.29%,"1.69 to 1",6.42%,58.8%
UNH,305.05,2025-11-21,84,280.00,Call,37.95,300.00,Call,25.15,292.8,-4.02%,7.2,12.8,+56.25%,"1.78 to 1",23.56%,58.8%
KGC,20.85,2026-01-16,140,19.00,Call,3.25,20.00,Call,2.55,19.7,-5.52%,0.3,0.7,+42.86%,"2.33 to 1",7.42%,58.8%
NVDA,173.88,2025-12-19,112,165.00,Call,21.05,166.00,Call,20.35,165.7,-4.70%,0.3,0.7,+42.86%,"2.33 to 1",6.42%,58.7%
NVDA,173.88,2025-12-19,112,162.00,Call,22.95,168.00,Call,19.15,165.8,-4.65%,2.2,3.8,+57.89%,"1.73 to 1",6.42%,58.6%
BABA,136.4,2025-11-21,84,125.00,Call,17.3,135.00,Call,11.55,130.75,-4.14%,4.25,5.75,+73.91%,"1.35 to 1",24.24%,58.5%
AAPL,232.5,2025-11-21,84,220.00,Call,19.85,230.00,Call,13.05,226.8,-2.45%,3.2,6.8,+47.06%,"2.13 to 1",14.55%,58.4%
NVDA,173.88,2025-12-19,112,160.00,Call,24.25,170.00,Call,18.05,166.2,-4.42%,3.8,6.2,+61.29%,"1.63 to 1",6.42%,58.2%
NVDA,173.88,2026-01-16,140,160.00,Call,26,169.00,Call,20.45,165.55,-4.79%,3.45,5.55,+62.16%,"1.61 to 1",6.42%,58.1%
