Symbol,Price~,"Exp Date",DTE,Strike,Type,Moneyness,Bid,"BE (Bid)","%BE (Bid)",Volume,"Open Int","IV Rank",Delta,Return,"Ann Rtn","Ptnl Rtn","Profit Prob"
AAPL,232.72,2025-10-03,35,235.00,Call,-0.98%,5.9,226.82,-2.54%,443,428,14.48%,-0.483825,2.6%,27.1%,3.6%,64.4%
AAPL,232.72,2025-10-03,35,240.00,Call,-3.13%,3.7,229.02,-1.59%,228,612,14.48%,-0.361547,1.6%,16.8%,4.8%,59.3%
AAPL,232.72,2025-10-03,35,245.00,Call,-5.28%,2.18,230.54,-0.94%,138,2433,14.48%,-0.248575,0.9%,9.9%,6.3%,55.7%
AAPL,232.72,2025-10-03,35,250.00,Call,-7.43%,1.23,231.49,-0.53%,251,641,14.48%,-0.160354,0.5%,5.5%,8.0%,53.2%
AAPL,232.72,2025-09-26,28,235.00,Call,-0.98%,5.15,227.57,-2.21%,677,2405,14.48%,-0.474032,2.3%,29.5%,3.3%,63.8%
AAPL,232.72,2025-09-26,28,240.00,Call,-3.13%,3,229.72,-1.29%,376,2782,14.48%,-0.33751,1.3%,17.0%,4.5%,58.5%
AAPL,232.72,2025-09-26,28,245.00,Call,-5.28%,1.66,231.06,-0.71%,444,4619,14.48%,-0.219877,0.7%,9.4%,6.0%,54.8%
AAPL,232.72,2025-09-19,21,232.50,Call,+0.09%,5.65,227.07,-2.43%,2846,2713,14.48%,-0.538413,2.4%,41.6%,2.4%,66.8%
AAPL,232.72,2025-09-19,21,235.00,Call,-0.98%,4.4,228.32,-1.89%,7679,29486,14.48%,-0.46177,1.9%,33.5%,2.9%,63.5%
AAPL,232.72,2025-09-19,21,237.50,Call,-2.05%,3.25,229.47,-1.40%,974,2601,14.48%,-0.384416,1.4%,24.6%,3.5%,60.2%
AAPL,232.72,2025-09-19,21,240.00,Call,-3.13%,2.4,230.32,-1.03%,6545,48167,14.48%,-0.310569,1.0%,18.1%,4.2%,57.7%
