Symbol,Price~,"Exp Leg1","Leg1 Strike",Type,Ask1,"Exp Leg2","Leg2 Strike",Type,Bid2,"Net Debit","Leg1 IV","Leg2 IV","(IV Skew)","IV Rank",IV/HV,"Net Delta","Net Vega"
GLD,310.58,2025-11-21,295.00,Call,21.25,2025-10-17,330.00,Call,1.92,19.33,14.47%,15.44%,0.97%,7.81%,1.0608681619282,0.623958,0.080703
GLD,310.58,2025-12-19,295.00,Call,22.85,2025-10-17,330.00,Call,1.92,20.93,13.91%,15.44%,1.53%,7.81%,1.0608681619282,0.614984,0.154192
GLD,310.58,2026-01-16,295.00,Call,24.35,2025-10-17,330.00,Call,1.92,22.43,14.39%,15.44%,1.05%,7.81%,1.0608681619282,0.596393,0.238974
GLD,310.58,2026-01-16,290.00,Call,28.2,2025-10-17,330.00,Call,1.92,26.28,14.15%,15.44%,1.29%,7.81%,1.0608681619282,0.650355,0.143591
GLD,310.58,2026-01-16,285.00,Call,32.35,2025-10-17,330.00,Call,1.92,30.43,14.66%,15.44%,0.78%,7.81%,1.0608681619282,0.684825,0.070458
GLD,310.58,2026-01-16,280.00,Call,36.7,2025-10-17,330.00,Call,1.92,34.78,14.31%,15.44%,1.13%,7.81%,1.0608681619282,0.72441,-0.027969
GLD,310.58,2026-01-16,275.00,Call,42,2025-10-17,330.00,Call,1.92,40.08,14.27%,15.44%,1.17%,7.81%,1.0608681619282,0.751434,-0.106466
GLD,310.58,2026-01-16,270.00,Call,47.65,2025-10-17,330.00,Call,1.92,45.73,13.02%,15.44%,2.42%,7.81%,1.0608681619282,0.782396,-0.212859
GLD,310.58,2026-01-16,260.00,Call,57.15,2025-10-17,330.00,Call,1.92,55.23,15.12%,15.44%,0.32%,7.81%,1.0608681619282,0.789426,-0.240714
GLD,310.58,2025-12-31,295.00,Call,23.75,2025-10-17,330.00,Call,1.92,21.83,14.37%,15.44%,1.07%,7.81%,1.0608681619282,0.60258,0.197614
GLD,310.58,2025-12-31,290.00,Call,27.7,2025-10-17,330.00,Call,1.92,25.78,13.84%,15.44%,1.60%,7.81%,1.0608681619282,0.662932,0.09288
"Downloaded from Barchart.com as of 08-24-2025 05:49pm CDT"
