Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Ask1,"Leg2 Strike",Type,Bid2,"Leg3 Strike",Type,Bid3,"Leg4 Strike",Type,Ask4,BE+,BE-,"Max Profit","Max Loss",Risk/Reward,"IV Rank","Loss Prob"
IWM,234.83,2025-09-30,38,215.00,Put,1.19,220.00,Put,1.74,240.00,Call,4.05,245.00,Call,2.51,242.09,217.91,2.09,2.91,"1.39 to 1",10.08%,45.4%
IWM,234.83,2025-10-17,55,195.00,Put,0.63,200.00,Put,0.8,240.00,Call,5.59,245.00,Call,3.83,241.93,198.07,1.93,3.07,"1.59 to 1",10.08%,37.6%
IWM,234.83,2025-10-17,55,196.00,Put,0.67,200.00,Put,0.8,240.00,Call,5.59,244.00,Call,4.15,241.57,198.43,1.57,2.43,"1.55 to 1",10.08%,38.4%
IWM,234.83,2025-10-17,55,200.00,Put,0.81,204.00,Put,0.98,240.00,Call,5.59,244.00,Call,4.15,241.61,202.39,1.61,2.39,"1.48 to 1",10.08%,39.8%
IWM,234.83,2025-10-17,55,200.00,Put,0.81,205.00,Put,1.03,240.00,Call,5.59,245.00,Call,3.83,241.98,203.02,1.98,3.02,"1.53 to 1",10.08%,39.4%
IWM,234.83,2025-10-17,55,205.00,Put,1.07,210.00,Put,1.39,240.00,Call,5.59,245.00,Call,3.83,242.08,207.92,2.08,2.92,"1.40 to 1",10.08%,42.3%
IWM,234.83,2025-10-17,55,208.00,Put,1.27,212.00,Put,1.58,240.00,Call,5.59,244.00,Call,4.15,241.75,210.25,1.75,2.25,"1.29 to 1",10.08%,44.9%
IWM,234.83,2025-10-17,55,208.00,Put,1.27,216.00,Put,2.04,240.00,Call,5.59,248.00,Call,2.98,243.38,212.62,3.38,4.62,"1.37 to 1",10.08%,44.3%
IWM,234.83,2025-10-17,55,210.00,Put,1.43,215.00,Put,1.91,240.00,Call,5.59,245.00,Call,3.83,242.24,212.76,2.24,2.76,"1.23 to 1",10.08%,46.5%
IWM,234.83,2025-10-17,55,210.00,Put,1.43,220.00,Put,2.66,240.00,Call,5.59,250.00,Call,2.51,244.31,215.69,4.31,5.69,"1.32 to 1",10.08%,46.3%
