Symbol,%Chg~,Volume~,Price~,"Exp Date",DTE,Strike,Type,Moneyness,Bid,Ask,Mid,Volume,"Open Int","IV Rank",Delta,Theta,"BE (Ask)","%BE (Ask)","ITM Prob","TP Ask","%TP Ask(a)","Static Ann Rtn","Ann Yield to Strike%","Exp B4 Earnings"
AVGO,+1.52%,16301301,294,2025-09-12,20,295.00,Call,-0.34%,14.45,14.75,14.6,85,384,36.04%,-0.520352,0.382895,279.25,-5.02%,48.93%,14.75,91.56%,89.70%,89.39%,No
PLTR,+1.64%,102099109,158.74,2025-09-12,20,160.00,Call,-0.79%,7.05,7.25,7.15,2107,758,17.83%,-0.505629,0.199044,151.49,-4.57%,47.38%,7.25,83.35%,81.05%,80.41%,N/A
CRM,+1.00%,6694200,248.29,2025-09-12,20,250.00,Call,-0.69%,10.85,11.2,11.02,309,444,63.86%,-0.506305,0.298843,237.09,-4.51%,47.64%,11.2,82.32%,79.75%,79.21%,No
AMD,+2.47%,43998602,167.76,2025-09-12,20,167.50,Call,+0.15%,6.95,7.05,7,433,560,14.98%,-0.535548,0.17622,160.71,-4.20%,50.62%,6.79,73.87%,75.61%,75.72%,N/A
AVGO,+1.52%,16301301,294,2025-09-12,20,300.00,Call,-2.04%,12.1,12.35,12.23,316,707,36.04%,-0.466437,0.37681,281.65,-4.20%,43.58%,12.35,76.66%,75.11%,73.61%,No
NVDA,+1.72%,172789406,177.99,2025-09-12,20,180.00,Call,-1.13%,7.05,7.15,7.1,4724,4198,28.38%,-0.489876,0.205049,170.84,-4.02%,45.94%,7.15,73.31%,72.29%,71.48%,No
PLTR,+1.64%,102099109,158.74,2025-09-19,27,160.00,Call,-0.79%,8.4,8.55,8.48,7868,11017,17.83%,-0.514002,0.170721,150.19,-5.39%,47.72%,8.55,72.81%,71.54%,70.97%,N/A
NVDA,+1.72%,172789406,177.99,2025-09-19,27,177.50,Call,+0.28%,9.2,9.25,9.23,3638,3067,28.38%,-0.543711,0.170907,168.74,-5.20%,50.90%,8.76,66.53%,69.87%,70.07%,No
PLTR,+1.64%,102099109,158.74,2025-09-12,20,162.50,Call,-2.37%,5.95,6.1,6.03,568,539,17.83%,-0.453523,0.195375,152.64,-3.84%,42.22%,6.1,70.13%,68.41%,66.82%,N/A
AMD,+2.47%,43998602,167.76,2025-09-19,27,167.50,Call,+0.15%,8.1,8.2,8.15,997,765,14.98%,-0.539448,0.153293,159.56,-4.89%,50.53%,7.94,63.98%,65.27%,65.37%,N/A
