Symbol,Ask,Bid,%Chg~,Volume~,"Exp Date",DTE,Strike,Type,Moneyness,Ask,Last,Volume,"Total OI","IV Rank",Delta,Theta,Vega,"BE (Ask)","%BE (Ask)","Yield to Strike%","Ann Yield to Strike%","ITM Prob","OTM Prob","Short Term~"
PLTR,0,0,+1.64%,102099109,2025-09-12,20,150.00,Put,-5.51%,4.15,4.1,1517,3975541,17.83%,0.299714,0.169734,-0.129115,145.85,-8.12%,2.70%,49.28%,32.79%,67.21%,Buy
NVDA,0,0,+1.72%,172789406,2025-09-12,20,170.00,Put,-4.49%,4.5,4.46,646,19075293,28.38%,0.317297,0.175433,-0.148435,165.5,-7.02%,2.62%,47.77%,34.44%,65.56%,Buy
PLTR,0,0,+1.64%,102099109,2025-09-19,27,150.00,Put,-5.51%,5.2,5.13,5312,3975541,17.83%,0.315974,0.147022,-0.153542,144.8,-8.78%,3.40%,45.96%,34.92%,65.08%,Buy
AMD,0,0,+2.47%,43998602,2025-09-12,20,160.00,Put,-4.63%,3.4,3.35,469,4006572,14.98%,0.295582,0.14146,-0.13559,156.6,-6.65%,2.06%,37.64%,32.05%,67.95%,Buy
AVGO,0,0,+1.52%,16301301,2025-09-12,20,270.00,Put,-8.16%,5.75,5.71,277,1845664,36.04%,0.234839,0.291987,-0.211355,264.25,-10.12%,2.06%,37.51%,25.99%,74.01%,Buy
NVDA,0,0,+1.72%,172789406,2025-09-19,27,168.00,Put,-5.61%,4.6,4.59,294,19075293,28.38%,0.296563,0.140633,-0.167389,163.4,-8.20%,2.68%,36.21%,32.67%,67.33%,Buy
AMD,0,0,+2.47%,43998602,2025-09-19,27,160.00,Put,-4.63%,4.3,4.26,1425,4006572,14.98%,0.314185,0.123771,-0.161853,155.7,-7.19%,2.63%,35.49%,34.37%,65.63%,Buy
PLTR,0,0,+1.64%,102099109,2025-09-12,20,145.00,Put,-8.66%,2.93,2.87,279,3975541,17.83%,0.22211,0.152505,-0.110618,142.07,-10.50%,1.94%,35.49%,24.73%,75.27%,Buy
NVDA,0,0,+1.72%,172789406,2025-09-19,27,167.50,Put,-5.89%,4.45,4.42,1092,19075293,28.38%,0.288519,0.138897,-0.165276,163.05,-8.39%,2.60%,35.11%,31.84%,68.16%,Buy
PLTR,0,0,+1.64%,102099109,2025-09-19,27,145.00,Put,-8.66%,3.85,3.7,2037,3975541,17.83%,0.243161,0.133779,-0.135158,141.15,-11.08%,2.55%,34.50%,27.34%,72.66%,Buy
NVDA,0,0,+1.72%,172789406,2025-09-12,20,165.00,Put,-7.30%,3.1,3.07,2675,19075293,28.38%,0.235802,0.156553,-0.128263,161.9,-9.04%,1.85%,33.73%,26.00%,74.00%,Buy
PLTR,0,0,+1.64%,102099109,2025-09-26,34,145.00,Put,-8.66%,4.65,4.5,442,3975541,17.83%,0.25865,0.120993,-0.156698,140.35,-11.58%,3.10%,33.32%,29.37%,70.63%,Buy
AVGO,0,0,+1.52%,16301301,2025-09-19,27,270.00,Put,-8.16%,6.85,6.77,932,1845664,36.04%,0.24882,0.241984,-0.253377,263.15,-10.49%,2.44%,33.05%,27.76%,72.24%,Buy
NVDA,0,0,+1.72%,172789406,2025-09-19,27,166.00,Put,-6.74%,4,4,740,19075293,28.38%,0.266373,0.134918,-0.158947,162,-8.98%,2.35%,31.76%,29.53%,70.47%,Buy
NVDA,0,0,+1.72%,172789406,2025-09-19,27,165.00,Put,-7.30%,3.75,3.7,1979,19075293,28.38%,0.251297,0.131083,-0.154226,161.25,-9.41%,2.21%,29.90%,27.95%,72.05%,Buy
AMD,0,0,+2.47%,43998602,2025-09-19,27,157.50,Put,-6.12%,3.55,3.6,1762,4006572,14.98%,0.269891,0.116987,-0.150805,153.95,-8.23%,2.19%,29.61%,29.79%,70.21%,Buy
CRM,249,248.49,+1.00%,6694200,2025-09-19,27,230.00,Put,-7.37%,5,4.95,1255,640537,63.86%,0.247119,0.178747,-0.213206,225,-9.38%,2.09%,28.21%,27.39%,72.61%,Sell
