Symbol,Price~,"Exp Date",DTE,Strike,Type,Moneyness,Ask,"%TP Ask","BE (Ask)","%BE (Ask)","Net Debit",Volume,"Open Int","IV Rank",Delta,"Profit Prob"
HYG,80.25,2025-10-17,57,76.00,Put,-5.30%,0.12,0.15%,75.88,-5.45%,12,13551,309284,7.26%,-0.074256,8.47%
HYG,80.25,2025-10-17,57,75.00,Put,-6.54%,0.09,0.11%,74.91,-6.65%,9,10000,65185,7.26%,-0.052333,6.12%
HYG,80.25,2025-10-17,57,73.00,Put,-9.03%,0.06,0.07%,72.94,-9.11%,6,5000,68049,7.26%,-0.031951,3.82%
IWM,225.98,2025-09-30,40,200.00,Put,-11.50%,0.84,0.37%,199.16,-11.87%,84,1633,4004,14.44%,-0.082219,9.01%
IWM,225.98,2025-10-17,57,212.00,Put,-6.19%,3.06,1.35%,208.94,-7.54%,306,851,2312,14.44%,-0.225451,21.34%
IWM,225.98,2025-10-17,57,210.00,Put,-7.07%,2.7,1.19%,207.3,-8.27%,270,5739,39576,14.44%,-0.201527,19.54%
IWM,225.98,2025-10-17,57,205.00,Put,-9.28%,1.97,0.87%,203.03,-10.16%,197,4361,47806,14.44%,-0.151128,15.49%
QQQ,563.29,2025-10-31,71,535.00,Put,-5.02%,8.94,1.59%,526.06,-6.61%,894,270,956,13.42%,-0.256894,24.23%
QQQ,563.29,2025-10-31,71,530.00,Put,-5.91%,8.03,1.43%,521.97,-7.34%,803,489,1021,13.42%,-0.231692,22.41%
QQQ,563.29,2025-10-31,71,500.00,Put,-11.24%,4.3,0.76%,495.7,-12.00%,430,599,1505,13.42%,-0.124887,13.61%
QQQ,563.29,2025-10-31,71,480.00,Put,-14.79%,2.91,0.52%,477.09,-15.30%,291,514,574,13.42%,-0.083448,9.64%
QQQ,563.29,2025-10-17,57,535.00,Put,-5.02%,7.31,1.30%,527.69,-6.32%,731,524,14617,13.42%,-0.240598,22.83%
QQQ,563.29,2025-10-17,57,530.00,Put,-5.91%,6.48,1.15%,523.52,-7.06%,648,2361,9915,13.42%,-0.214351,20.86%
QQQ,563.29,2025-10-17,57,520.00,Put,-7.69%,5.1,0.91%,514.9,-8.59%,510,888,14749,13.42%,-0.170071,17.35%
QQQ,563.29,2025-10-17,57,515.00,Put,-8.57%,4.53,0.80%,510.47,-9.38%,453,616,13232,13.42%,-0.151155,15.74%
QQQ,563.29,2025-10-17,57,510.00,Put,-9.46%,4.04,0.72%,505.96,-10.18%,404,756,18275,13.42%,-0.134795,14.31%
QQQ,563.29,2025-10-17,57,500.00,Put,-11.24%,3.21,0.57%,496.79,-11.81%,321,2353,11274,13.42%,-0.106972,11.76%
QQQ,563.29,2025-10-17,57,495.00,Put,-12.12%,2.88,0.51%,492.12,-12.63%,288,293,5012,13.42%,-0.095538,10.66%
QQQ,563.29,2025-09-30,40,530.00,Put,-5.91%,4.47,0.79%,525.53,-6.70%,447,777,5879,13.42%,-0.183655,18.14%
QQQ,563.29,2025-09-30,40,520.00,Put,-7.69%,3.35,0.59%,516.65,-8.28%,335,308,17539,13.42%,-0.138408,14.35%
QQQ,563.29,2025-09-30,40,510.00,Put,-9.46%,2.53,0.45%,507.47,-9.91%,253,329,3061,13.42%,-0.104638,11.28%
QQQ,563.29,2025-09-30,40,490.00,Put,-13.01%,1.5,0.27%,488.5,-13.28%,150,1680,13022,13.42%,-0.061226,7.01%
QQQ,563.29,2025-09-30,40,480.00,Put,-14.79%,1.19,0.21%,478.81,-15.00%,119,586,15282,13.42%,-0.047594,5.57%
SMH,287.33,2025-10-17,57,250.00,Put,-12.99%,3.15,1.10%,246.85,-14.09%,315,977,3258,8.46%,-0.138261,14.60%
SPY,635.92,2025-10-17,57,600.00,Put,-5.65%,5.25,0.83%,594.75,-6.47%,525,10800,44399,12.48%,-0.19105,18.88%
SPY,635.92,2025-10-17,57,595.00,Put,-6.43%,4.68,0.74%,590.32,-7.17%,468,527,40012,12.48%,-0.169677,17.14%
SPY,635.92,2025-10-17,57,590.00,Put,-7.22%,4.18,0.66%,585.82,-7.88%,418,978,30876,12.48%,-0.151076,15.56%
SPY,635.92,2025-10-17,57,585.00,Put,-8.01%,3.73,0.59%,581.27,-8.59%,373,1033,17917,12.48%,-0.134161,14.08%
SPY,635.92,2025-10-17,57,580.00,Put,-8.79%,3.33,0.52%,576.67,-9.32%,333,377,36714,12.48%,-0.119456,12.75%
SPY,635.92,2025-10-17,57,575.00,Put,-9.58%,2.98,0.47%,572.02,-10.05%,298,7364,18129,12.48%,-0.106434,11.54%
SPY,635.92,2025-10-17,57,570.00,Put,-10.37%,2.68,0.42%,567.32,-10.79%,268,604,19118,12.48%,-0.095034,10.45%
SPY,635.92,2025-10-17,57,565.00,Put,-11.15%,2.4,0.38%,562.6,-11.53%,240,2767,13775,12.48%,-0.08484,9.46%
SPY,635.92,2025-10-17,57,560.00,Put,-11.94%,2.17,0.34%,557.83,-12.28%,217,682,38409,12.48%,-0.076011,8.58%
SPY,635.92,2025-10-17,57,555.00,Put,-12.72%,1.96,0.31%,553.04,-13.03%,196,372,22513,12.48%,-0.068254,7.79%
SPY,635.92,2025-10-17,57,550.00,Put,-13.51%,1.77,0.28%,548.23,-13.79%,177,8030,27369,12.48%,-0.061224,7.07%
SPY,635.92,2025-10-31,71,600.00,Put,-5.65%,6.66,1.05%,593.34,-6.70%,666,294,5233,12.48%,-0.210352,20.63%
SPY,635.92,2025-10-31,71,590.00,Put,-7.22%,5.45,0.86%,584.55,-8.08%,545,1704,2731,12.48%,-0.170917,17.45%
SPY,635.92,2025-10-31,71,550.00,Put,-13.51%,2.55,0.40%,547.45,-13.91%,255,437,29816,12.48%,-0.076565,8.78%
SPY,635.92,2025-09-30,40,600.00,Put,-5.65%,3.44,0.54%,596.56,-6.19%,344,1604,28041,12.48%,-0.157167,15.81%
SPY,635.92,2025-09-30,40,592.00,Put,-6.91%,2.72,0.43%,589.28,-7.33%,272,322,1351,12.48%,-0.124026,12.92%
SPY,635.92,2025-09-30,40,590.00,Put,-7.22%,2.57,0.40%,587.43,-7.63%,257,928,6220,12.48%,-0.11729,12.31%
SPY,635.92,2025-09-30,40,580.00,Put,-8.79%,1.93,0.30%,578.07,-9.10%,193,295,19265,12.48%,-0.08741,9.50%
XLE,86.46,2025-10-17,57,80.00,Put,-7.47%,0.84,0.97%,79.16,-8.44%,84,3014,6564,6.95%,-0.181848,17.48%
XLF,52.72,2025-10-17,57,50.00,Put,-5.16%,0.54,1.02%,49.46,-6.18%,54,469,47885,6.34%,-0.215915,20.48%
