Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Ask1,"Leg2 Strike",Type,Bid2,BE,BE%,"Max Profit","Max Loss","Max Profit%",Risk/Reward,"IV Rank","Profit Prob"
GLD,310.58,2025-09-19,27,300.00,Call,12.75,309.00,Call,6,306.75,-1.23%,2.25,6.75,+33.33%,"3.00 to 1",7.81%,62.7%
GLD,310.58,2025-09-19,27,300.00,Call,12.75,310.00,Call,5.45,307.3,-1.06%,2.7,7.3,+36.99%,"2.70 to 1",7.81%,60.9%
GLD,310.58,2025-09-19,27,300.00,Call,12.75,311.00,Call,4.9,307.85,-0.88%,3.15,7.85,+40.13%,"2.49 to 1",7.81%,59.1%
GLD,310.58,2025-09-19,27,300.00,Call,12.75,312.00,Call,4.45,308.3,-0.73%,3.7,8.3,+44.58%,"2.24 to 1",7.81%,57.6%
GLD,310.58,2025-09-19,27,302.00,Call,11.2,309.00,Call,6,307.2,-1.09%,1.8,5.2,+34.62%,"2.89 to 1",7.81%,61.2%
GLD,310.58,2025-09-19,27,302.00,Call,11.2,310.00,Call,5.45,307.75,-0.91%,2.25,5.75,+39.13%,"2.56 to 1",7.81%,59.4%
GLD,310.58,2025-09-19,27,302.00,Call,11.2,311.00,Call,4.9,308.3,-0.73%,2.7,6.3,+42.86%,"2.33 to 1",7.81%,57.6%
GLD,310.58,2025-09-19,27,302.00,Call,11.2,312.00,Call,4.45,308.75,-0.59%,3.25,6.75,+48.15%,"2.08 to 1",7.81%,56.1%
GLD,310.58,2025-09-19,27,303.00,Call,10.3,309.00,Call,6,307.3,-1.06%,1.7,4.3,+39.53%,"2.53 to 1",7.81%,60.9%
GLD,310.58,2025-09-19,27,303.00,Call,10.3,310.00,Call,5.45,307.85,-0.88%,2.15,4.85,+44.33%,"2.26 to 1",7.81%,59.1%
GLD,310.58,2025-09-19,27,303.00,Call,10.3,311.00,Call,4.9,308.4,-0.70%,2.6,5.4,+48.15%,"2.08 to 1",7.81%,57.3%
GLD,310.58,2025-09-19,27,303.00,Call,10.3,312.00,Call,4.45,308.85,-0.56%,3.15,5.85,+53.85%,"1.86 to 1",7.81%,55.8%
GLD,310.58,2025-09-19,27,305.00,Call,8.75,308.00,Call,6.55,307.2,-1.09%,0.8,2.2,+36.36%,"2.75 to 1",7.81%,61.2%
GLD,310.58,2025-09-19,27,305.00,Call,8.75,309.00,Call,6,307.75,-0.91%,1.25,2.75,+45.45%,"2.20 to 1",7.81%,59.4%
GLD,310.58,2025-09-19,27,305.00,Call,8.75,310.00,Call,5.45,308.3,-0.73%,1.7,3.3,+51.52%,"1.94 to 1",7.81%,57.6%
GLD,310.58,2025-09-19,27,305.00,Call,8.75,311.00,Call,4.9,308.85,-0.56%,2.15,3.85,+55.84%,"1.79 to 1",7.81%,55.8%
GLD,310.58,2025-09-19,27,305.00,Call,8.75,312.00,Call,4.45,309.3,-0.41%,2.7,4.3,+62.79%,"1.59 to 1",7.81%,54.3%
GLD,310.58,2025-09-19,27,306.00,Call,8.1,309.00,Call,6,308.1,-0.80%,0.9,2.1,+42.86%,"2.33 to 1",7.81%,58.3%
GLD,310.58,2025-09-19,27,306.00,Call,8.1,310.00,Call,5.45,308.65,-0.62%,1.35,2.65,+50.94%,"1.96 to 1",7.81%,56.5%
GLD,310.58,2025-09-19,27,306.00,Call,8.1,311.00,Call,4.9,309.2,-0.44%,1.8,3.2,+56.25%,"1.78 to 1",7.81%,54.6%
GLD,310.58,2025-09-19,27,306.00,Call,8.1,312.00,Call,4.45,309.65,-0.30%,2.35,3.65,+64.38%,"1.55 to 1",7.81%,53.1%
GLD,310.58,2025-09-30,38,300.00,Call,13.5,310.00,Call,6.45,307.05,-1.14%,2.95,7.05,+41.84%,"2.39 to 1",7.81%,60.0%
GLD,310.58,2025-09-30,38,300.00,Call,13.5,311.00,Call,5.9,307.6,-0.96%,3.4,7.6,+44.74%,"2.24 to 1",7.81%,58.5%
GLD,310.58,2025-10-17,55,305.00,Call,11.3,308.00,Call,9.3,307,-1.15%,1,2,+50.00%,"2.00 to 1",7.81%,58.2%
GLD,310.58,2025-10-17,55,305.00,Call,11.3,309.00,Call,8.75,307.55,-0.98%,1.45,2.55,+56.86%,"1.76 to 1",7.81%,56.9%
GLD,310.58,2025-10-17,55,305.00,Call,11.3,310.00,Call,8.25,308.05,-0.81%,1.95,3.05,+63.93%,"1.56 to 1",7.81%,55.8%
GLD,310.58,2025-10-17,55,305.00,Call,11.3,311.00,Call,7.7,308.6,-0.64%,2.4,3.6,+66.67%,"1.50 to 1",7.81%,54.5%
GLD,310.58,2025-10-17,55,305.00,Call,11.3,312.00,Call,7.2,309.1,-0.48%,2.9,4.1,+70.73%,"1.41 to 1",7.81%,53.4%
IWM,234.83,2025-09-30,38,220.00,Call,17.21,235.00,Call,6.34,230.87,-1.69%,4.13,10.87,+37.99%,"2.63 to 1",10.08%,60.1%
IWM,234.83,2025-09-30,38,220.00,Call,17.21,236.00,Call,5.82,231.39,-1.46%,4.61,11.39,+40.47%,"2.47 to 1",10.08%,58.8%
IWM,234.83,2025-09-30,38,222.00,Call,15.52,235.00,Call,6.34,231.18,-1.55%,3.82,9.18,+41.61%,"2.40 to 1",10.08%,59.3%
IWM,234.83,2025-09-30,38,222.00,Call,15.52,236.00,Call,5.82,231.7,-1.33%,4.3,9.7,+44.33%,"2.26 to 1",10.08%,58.0%
IWM,234.83,2025-09-30,38,225.00,Call,13.1,235.00,Call,6.34,231.76,-1.31%,3.24,6.76,+47.93%,"2.09 to 1",10.08%,57.9%
IWM,234.83,2025-09-30,38,225.00,Call,13.1,236.00,Call,5.82,232.28,-1.09%,3.72,7.28,+51.10%,"1.96 to 1",10.08%,56.5%
IWM,234.83,2025-09-30,38,230.00,Call,9.44,235.00,Call,6.34,233.1,-0.74%,1.9,3.1,+61.29%,"1.63 to 1",10.08%,54.4%
IWM,234.83,2025-09-30,38,230.00,Call,9.44,236.00,Call,5.82,233.62,-0.52%,2.38,3.62,+65.75%,"1.52 to 1",10.08%,53.1%
IWM,234.83,2025-09-19,27,220.00,Call,16.69,235.00,Call,5.52,231.17,-1.56%,3.83,11.17,+34.29%,"2.92 to 1",10.08%,60.6%
IWM,234.83,2025-09-19,27,220.00,Call,16.69,236.00,Call,5.01,231.68,-1.34%,4.32,11.68,+36.99%,"2.70 to 1",10.08%,59.1%
IWM,234.83,2025-09-19,27,221.00,Call,15.81,234.00,Call,6.07,230.74,-1.74%,3.26,9.74,+33.47%,"2.99 to 1",10.08%,61.8%
IWM,234.83,2025-09-19,27,221.00,Call,15.81,235.00,Call,5.52,231.29,-1.51%,3.71,10.29,+36.05%,"2.77 to 1",10.08%,60.3%
IWM,234.83,2025-09-19,27,221.00,Call,15.81,236.00,Call,5.01,231.8,-1.29%,4.2,10.8,+38.89%,"2.57 to 1",10.08%,58.8%
IWM,234.83,2025-09-19,27,225.00,Call,12.44,232.00,Call,7.26,230.18,-1.98%,1.82,5.18,+35.14%,"2.85 to 1",10.08%,63.4%
IWM,234.83,2025-09-19,27,225.00,Call,12.44,233.00,Call,6.65,230.79,-1.72%,2.21,5.79,+38.17%,"2.62 to 1",10.08%,61.7%
IWM,234.83,2025-09-19,27,225.00,Call,12.44,234.00,Call,6.07,231.37,-1.47%,2.63,6.37,+41.29%,"2.42 to 1",10.08%,60.0%
IWM,234.83,2025-09-19,27,225.00,Call,12.44,235.00,Call,5.52,231.92,-1.24%,3.08,6.92,+44.51%,"2.25 to 1",10.08%,58.5%
