Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Bid1,"Leg2 Strike",Type,Ask2,BE,BE%,"Max Profit","Max Loss","Max Profit%",Risk/Reward,"IV Rank","Loss Prob"
GLD,310.58,2025-10-17,55,310.00,Put,5.85,278.00,Put,0.29,304.44,-1.98%,5.56,26.44,+21.03%,"4.76 to 1",7.81%,36.1%
GLD,310.58,2025-10-17,55,310.00,Put,5.85,280.00,Put,0.34,304.49,-1.96%,5.51,24.49,+22.50%,"4.44 to 1",7.81%,36.3%
GLD,310.58,2025-10-17,55,310.00,Put,5.85,281.00,Put,0.37,304.52,-1.95%,5.48,23.52,+23.30%,"4.29 to 1",7.81%,36.3%
GLD,310.58,2025-10-17,55,310.00,Put,5.85,282.00,Put,0.4,304.55,-1.94%,5.45,22.55,+24.17%,"4.14 to 1",7.81%,36.4%
GLD,310.58,2025-10-17,55,310.00,Put,5.85,283.00,Put,0.43,304.58,-1.93%,5.42,21.58,+25.12%,"3.98 to 1",7.81%,36.4%
GLD,310.58,2025-10-17,55,310.00,Put,5.85,284.00,Put,0.48,304.63,-1.92%,5.37,20.63,+26.03%,"3.84 to 1",7.81%,36.6%
GLD,310.58,2025-10-17,55,310.00,Put,5.85,285.00,Put,0.52,304.67,-1.90%,5.33,19.67,+27.10%,"3.69 to 1",7.81%,36.6%
GLD,310.58,2025-10-17,55,305.00,Put,3.8,286.00,Put,0.57,301.77,-2.84%,3.23,15.77,+20.48%,"4.88 to 1",7.81%,30.5%
GLD,310.58,2025-10-17,55,310.00,Put,5.85,286.00,Put,0.57,304.72,-1.89%,5.28,18.72,+28.21%,"3.55 to 1",7.81%,36.8%
GLD,310.58,2025-10-17,55,305.00,Put,3.8,287.00,Put,0.63,301.83,-2.82%,3.17,14.83,+21.38%,"4.68 to 1",7.81%,30.6%
GLD,310.58,2025-10-17,55,310.00,Put,5.85,287.00,Put,0.63,304.78,-1.87%,5.22,17.78,+29.36%,"3.41 to 1",7.81%,36.9%
GLD,310.58,2025-10-17,55,305.00,Put,3.8,288.00,Put,0.69,301.89,-2.80%,3.11,13.89,+22.39%,"4.47 to 1",7.81%,30.7%
GLD,310.58,2025-10-17,55,310.00,Put,5.85,288.00,Put,0.69,304.84,-1.85%,5.16,16.84,+30.64%,"3.26 to 1",7.81%,37.0%
GLD,310.58,2025-10-17,55,305.00,Put,3.8,289.00,Put,0.76,301.96,-2.78%,3.04,12.96,+23.46%,"4.26 to 1",7.81%,30.9%
GLD,310.58,2025-10-17,55,310.00,Put,5.85,289.00,Put,0.76,304.91,-1.83%,5.09,15.91,+31.99%,"3.13 to 1",7.81%,37.2%
GLD,310.58,2025-10-17,55,305.00,Put,3.8,290.00,Put,0.84,302.04,-2.75%,2.96,12.04,+24.58%,"4.07 to 1",7.81%,31.0%
GLD,310.58,2025-10-17,55,310.00,Put,5.85,290.00,Put,0.84,304.99,-1.80%,5.01,14.99,+33.42%,"2.99 to 1",7.81%,37.3%
GLD,310.58,2025-10-17,55,305.00,Put,3.8,291.00,Put,0.93,302.13,-2.72%,2.87,11.13,+25.79%,"3.88 to 1",7.81%,31.2%
GLD,310.58,2025-10-17,55,310.00,Put,5.85,291.00,Put,0.93,305.08,-1.77%,4.92,14.08,+34.94%,"2.86 to 1",7.81%,37.5%
GLD,310.58,2025-10-17,55,305.00,Put,3.8,292.00,Put,1.03,302.23,-2.69%,2.77,10.23,+27.08%,"3.69 to 1",7.81%,31.4%
GLD,310.58,2025-10-17,55,310.00,Put,5.85,292.00,Put,1.03,305.18,-1.74%,4.82,13.18,+36.57%,"2.73 to 1",7.81%,37.8%
GLD,310.58,2025-10-17,55,300.00,Put,2.32,293.00,Put,1.15,298.83,-3.78%,1.17,5.83,+20.07%,"4.98 to 1",7.81%,24.7%
GLD,310.58,2025-10-17,55,305.00,Put,3.8,293.00,Put,1.15,302.35,-2.65%,2.65,9.35,+28.34%,"3.53 to 1",7.81%,31.7%
GLD,310.58,2025-10-17,55,310.00,Put,5.85,293.00,Put,1.15,305.3,-1.70%,4.7,12.3,+38.21%,"2.62 to 1",7.81%,38.0%
GLD,310.58,2025-10-17,55,300.00,Put,2.32,294.00,Put,1.27,298.95,-3.74%,1.05,4.95,+21.21%,"4.71 to 1",7.81%,24.9%
GLD,310.58,2025-10-17,55,305.00,Put,3.8,294.00,Put,1.27,302.47,-2.61%,2.53,8.47,+29.87%,"3.35 to 1",7.81%,31.9%
GLD,310.58,2025-10-17,55,300.00,Put,2.32,295.00,Put,1.41,299.09,-3.70%,0.91,4.09,+22.25%,"4.49 to 1",7.81%,25.2%
